[ 2026-03-27 17:49:29 | node_26 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 17:49:29 | node_10 | INFO ] 🧩 Model added for round 141 (4/10) from ['node_24']
[ 2026-03-27 17:49:29 | node_31 | INFO ] 🔬 Evaluating...
[ 2026-03-27 17:49:29 | node_37 | INFO ] 🎓 Training step done.
[ 2026-03-27 17:49:29 | node_15 | INFO ] 🧩 Model added for round 141 (3/10) from ['node_42']
[ 2026-03-27 17:49:29 | node_27 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004892271012067795, 'test_accuracy': 0.9915422201156616, 'test_precision': 0.2873826324939728, 'test_recall': 0.5699910521507263, 'test_f1': 0.3802403509616852, 'communication_cost': 2188848}
[ 2026-03-27 17:49:29 | node_37 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 17:49:29 | node_12 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004407818894833326, 'test_accuracy': 0.9917228817939758, 'test_precision': 0.3166530430316925, 'test_recall': 0.6614680886268616, 'test_f1': 0.42104920744895935, 'communication_cost': 3283272}
[ 2026-03-27 17:49:29 | node_35 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_6', 'node_8', 'node_13', 'node_18', 'node_23', 'node_25', 'node_26', 'node_29']
[ 2026-03-27 17:49:29 | node_40 | INFO ] 🎓 Training step done.
[ 2026-03-27 17:49:29 | node_27 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 17:49:29 | node_37 | INFO ] ✅ [FORCE] Local model added for round 141. (4/11)
[ 2026-03-27 17:49:30 | node_13 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0028004967607557774, 'test_accuracy': 0.9908232092857361, 'test_precision': 0.24397647380828857, 'test_recall': 0.6421737670898438, 'test_f1': 0.34445422887802124, 'communication_cost': 3283272}
[ 2026-03-27 17:49:30 | node_12 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 17:49:30 | node_40 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 17:49:30 | node_13 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 17:49:30 | node_40 | INFO ] ✅ [FORCE] Local model added for round 141. (1/11)
[ 2026-03-27 17:49:30 | node_49 | INFO ] 🧩 Model added for round 141 (3/8) from ['node_4']
[ 2026-03-27 17:49:30 | node_5 | INFO ] 🎓 Training step done.
[ 2026-03-27 17:49:30 | node_5 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 17:49:30 | node_6 | INFO ] 🧩 Model added for round 141 (5/10) from ['node_35']
[ 2026-03-27 17:49:30 | node_5 | INFO ] ✅ [FORCE] Local model added for round 141. (3/7)
[ 2026-03-27 17:49:30 | node_29 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003910350147634745, 'test_accuracy': 0.9916321635246277, 'test_precision': 0.2763935327529907, 'test_recall': 0.6157060861587524, 'test_f1': 0.3778374195098877, 'communication_cost': 3283272}
[ 2026-03-27 17:49:30 | node_48 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 17:49:30 | node_29 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 17:49:30 | node_15 | INFO ] 🧩 Model added for round 141 (4/10) from ['node_23']
[ 2026-03-27 17:49:30 | node_8 | INFO ] 📤 Sending model to 12 direct neighbors: ['node', 'node_5', 'node_6', 'node_13', 'node_17', 'node_25', 'node_31', 'node_32', 'node_35', 'node_39', 'node_47', 'node_49']
[ 2026-03-27 17:49:30 | node_17 | INFO ] 🎓 Training step done.
[ 2026-03-27 17:49:30 | node_17 | INFO ] 🛠️ Calling force_add_local_model...
