[ 2026-03-27 10:30:49 | node_49 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_1', 'node_5', 'node_17', 'node_26', 'node_32', 'node_38', 'node_43', 'node_47']
[ 2026-03-27 10:30:49 | node_29 | INFO ] 🧩 Model added for round 96 (3/8) from ['node_17']
[ 2026-03-27 10:30:49 | node_1 | INFO ] 🧩 Model added for round 96 (5/11) from ['node_15']
[ 2026-03-27 10:30:49 | node_23 | INFO ] 🧩 Model added for round 96 (6/10) from ['node_34']
[ 2026-03-27 10:30:49 | node_37 | INFO ] 🎓 Training step done.
[ 2026-03-27 10:30:49 | node_37 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 10:30:49 | node_12 | INFO ] 🎉 Round 96 of 150 finished.
[ 2026-03-27 10:30:49 | node_1 | INFO ] 🧩 Model added for round 96 (6/11) from ['node_49']
[ 2026-03-27 10:30:50 | node_37 | INFO ] ✅ [FORCE] Local model added for round 96. (4/12)
[ 2026-03-27 10:30:50 | node_12 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 10:30:50 | node_36 | INFO ] 🧩 Model added for round 96 (6/9) from ['node_23']
[ 2026-03-27 10:30:50 | node_12 | INFO ] ♻️ Proactively processing 3 early models for round 96.
[ 2026-03-27 10:30:50 | node_12 | INFO ] 🧩 Model added for round 96 (1/13) from ['node_14']
[ 2026-03-27 10:30:50 | node_25 | INFO ] 🧩 Model added for round 96 (7/9) from ['node_13']
[ 2026-03-27 10:30:50 | node_44 | INFO ] 📤 Sending model to 9 direct neighbors: ['node_2', 'node_3', 'node_10', 'node_21', 'node_24', 'node_35', 'node_36', 'node_42', 'node_43']
[ 2026-03-27 10:30:50 | node_12 | INFO ] 🧩 Model added for round 96 (2/13) from ['node_13']
[ 2026-03-27 10:30:50 | node_41 | INFO ] 🧩 Model added for round 95 (10/10) from ['node_31']
[ 2026-03-27 10:30:50 | node_12 | INFO ] 🧩 Model added for round 96 (3/13) from ['node_17']
[ 2026-03-27 10:30:50 | node_39 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 10:30:50 | node_12 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 10:30:50 | node_9 | INFO ] 🧩 Model added for round 96 (5/10) from ['node_42']
[ 2026-03-27 10:30:50 | node_12 | INFO ] 🧩 Model added for round 96 (4/13) from ['node_25']
[ 2026-03-27 10:30:50 | node_32 | INFO ] 📤 Sending model to 9 direct neighbors: ['node_2', 'node_6', 'node_9', 'node_11', 'node_12', 'node_16', 'node_22', 'node_35', 'node_49']
[ 2026-03-27 10:30:50 | node_37 | INFO ] 🧩 Model added for round 96 (5/12) from ['node_14']
[ 2026-03-27 10:30:50 | node_35 | INFO ] 🧩 Model added for round 96 (3/12) from ['node_27']
[ 2026-03-27 10:30:50 | node_2 | INFO ] 🧩 Model added for round 96 (2/7) from ['node_44']
[ 2026-03-27 10:30:50 | node_11 | INFO ] 🧩 Model added for round 96 (4/7) from ['node_36']
[ 2026-03-27 10:30:51 | node_37 | INFO ] 🧩 Model added for round 96 (6/12) from ['node_17']
[ 2026-03-27 10:30:51 | node_2 | INFO ] 🧩 Model added for round 96 (3/7) from ['node_32']
[ 2026-03-27 10:30:51 | node_37 | INFO ] 🧩 Model added for round 96 (7/12) from ['node_4']
[ 2026-03-27 10:30:51 | node_35 | INFO ] 📤 Sending model to 11 direct neighbors: ['node_1', 'node_2', 'node_7', 'node_12', 'node_21', 'node_24', 'node_26', 'node_27', 'node_32', 'node_33', 'node_44']
[ 2026-03-27 10:30:51 | node_41 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 10:30:51 | node_27 | INFO ] 🧩 Model added for round 96 (2/5) from ['node_26']
[ 2026-03-27 10:30:51 | node_42 | INFO ] 🧩 Model added for round 96 (3/11) from ['node_8']
[ 2026-03-27 10:30:51 | node_1 | INFO ] 📤 Sending model to 10 direct neighbors: ['node_7', 'node_10', 'node_12', 'node_13', 'node_15', 'node_16', 'node_17', 'node_24', 'node_35', 'node_49']
[ 2026-03-27 10:30:51 | node_29 | INFO ] 🧩 Model added for round 96 (4/8) from ['node_34']
[ 2026-03-27 10:30:51 | node_4 | INFO ] 🧩 Model added for round 96 (6/8) from ['node_15']
[ 2026-03-27 10:30:51 | node_1 | INFO ] 🧩 Model added for round 96 (7/11) from ['node_35']
[ 2026-03-27 10:30:51 | node_42 | INFO ] 🧩 Model added for round 96 (4/11) from ['node_23']
[ 2026-03-27 10:30:51 | node_24 | INFO ] 📤 Sending model to 10 direct neighbors: ['node_1', 'node_10', 'node_18', 'node_35', 'node_37', 'node_38', 'node_41', 'node_42', 'node_44', 'node_48']
[ 2026-03-27 10:30:52 | node_3 | INFO ] 🧩 Model added for round 96 (5/8) from ['node_44']
[ 2026-03-27 10:30:52 | node_45 | INFO ] 🧩 Model added for round 95 (12/12) from ['node_31']
[ 2026-03-27 10:30:52 | node_14 | INFO ] 🧩 Model added for round 96 (4/9) from ['node_36']
[ 2026-03-27 10:30:52 | node_40 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_3', 'node_9', 'node_22', 'node_30', 'node_33', 'node_36', 'node_41', 'node_43']
[ 2026-03-27 10:30:52 | node_17 | INFO ] 🧩 Model added for round 96 (4/9) from ['node_49']
[ 2026-03-27 10:30:52 | node_1 | INFO ] 🧩 Model added for round 96 (8/11) from ['node_24']
[ 2026-03-27 10:30:52 | node_35 | INFO ] 🧩 Model added for round 96 (4/12) from ['node_26']
[ 2026-03-27 10:30:52 | node_17 | INFO ] 🧩 Model added for round 96 (5/9) from ['node_42']
[ 2026-03-27 10:30:52 | node_12 | INFO ] 🎓 Training step done.
[ 2026-03-27 10:30:52 | node_12 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 10:30:52 | node_12 | INFO ] ✅ [FORCE] Local model added for round 96. (5/13)
[ 2026-03-27 10:30:52 | node_3 | INFO ] 🧩 Model added for round 96 (6/8) from ['node_40']
[ 2026-03-27 10:30:52 | node_41 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 10:30:52 | node_13 | INFO ] 🧩 Model added for round 96 (4/7) from ['node_25']
[ 2026-03-27 10:30:52 | node_9 | INFO ] 🧩 Model added for round 96 (6/10) from ['node_32']
[ 2026-03-27 10:30:53 | node_12 | INFO ] 🧩 Model added for round 96 (6/13) from ['node_1']
[ 2026-03-27 10:30:53 | node_42 | INFO ] 🧩 Model added for round 96 (5/11) from ['node_17']
[ 2026-03-27 10:30:53 | node_45 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 10:30:53 | node_14 | INFO ] 🧩 Model added for round 96 (5/9) from ['node_15']
[ 2026-03-27 10:30:53 | node_2 | INFO ] 🧩 Model added for round 96 (4/7) from ['node_35']
[ 2026-03-27 10:30:53 | node_23 | INFO ] 🧩 Model added for round 96 (7/10) from ['node_36']
[ 2026-03-27 10:30:54 | node_26 | INFO ] 🧩 Model added for round 96 (4/9) from ['node_49']
[ 2026-03-27 10:30:54 | node_46 | INFO ] 🧩 Model added for round 95 (6/6) from ['node_31']
[ 2026-03-27 10:30:54 | node_14 | INFO ] 🧩 Model added for round 96 (6/9) from ['node_25']
[ 2026-03-27 10:30:54 | node_9 | INFO ] 🧩 Model added for round 96 (7/10) from ['node_40']
[ 2026-03-27 10:30:54 | node_24 | INFO ] 🧩 Model added for round 96 (2/11) from ['node_44']
[ 2026-03-27 10:30:54 | node_11 | INFO ] 🧩 Model added for round 96 (5/7) from ['node_32']
[ 2026-03-27 10:30:54 | node_46 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 10:30:54 | node_49 | INFO ] 🧩 Model added for round 96 (2/9) from ['node_17']
[ 2026-03-27 10:30:55 | node_45 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 10:30:55 | node_37 | INFO ] 📤 Sending model to 11 direct neighbors: ['node_4', 'node_6', 'node_8', 'node_9', 'node_10', 'node_14', 'node_17', 'node_24', 'node_30', 'node_45', 'node_46']
