[ 2026-03-27 14:12:29 | node_15 | INFO ] 🧩 Model added for round 149 (11/11) from ['node_46']
[ 2026-03-27 14:12:29 | node_8 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.00616622157394886, 'test_accuracy': 0.9901034832000732, 'test_precision': 0.24422132968902588, 'test_recall': 0.5156472325325012, 'test_f1': 0.32745561003685, 'communication_cost': 6560172}
[ 2026-03-27 14:12:29 | node_25 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004437074530869722, 'test_accuracy': 0.9906424283981323, 'test_precision': 0.2244643121957779, 'test_recall': 0.5682641863822937, 'test_f1': 0.30807194113731384, 'communication_cost': 7289080}
[ 2026-03-27 14:12:29 | node_27 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0038428406696766615, 'test_accuracy': 0.9900125861167908, 'test_precision': 0.1763629913330078, 'test_recall': 0.605131208896637, 'test_f1': 0.2648521065711975, 'communication_cost': 5831264}
[ 2026-03-27 14:12:30 | node_8 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:30 | node_25 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:30 | node_11 | INFO ] 🧩 Model added for round 149 (7/7) from ['node_41']
[ 2026-03-27 14:12:30 | node_27 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:30 | node_21 | INFO ] 🧩 Model added for round 149 (7/7) from ['node_23']
[ 2026-03-27 14:12:30 | node_12 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:30 | node_6 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:30 | node_15 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:30 | node_5 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004557771608233452, 'test_accuracy': 0.9897435903549194, 'test_precision': 0.22891893982887268, 'test_recall': 0.6028352975845337, 'test_f1': 0.32487085461616516, 'communication_cost': 5831264}
[ 2026-03-27 14:12:30 | node_7 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:30 | node_7 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:30 | node_5 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:30 | node_24 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:30 | node_12 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:30 | node_24 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:31 | node_15 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:31 | node_6 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:31 | node_14 | INFO ] 🧩 Model added for round 149 (10/10) from ['node_41']
[ 2026-03-27 14:12:31 | node_13 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:31 | node_23 | INFO ] 🧩 Model added for round 149 (13/14) from ['node_46']
[ 2026-03-27 14:12:31 | node_13 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:31 | node_22 | INFO ] 🧩 Model added for round 149 (8/9) from ['node_23']
[ 2026-03-27 14:12:31 | node_21 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:31 | node_11 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:32 | node_14 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:32 | node_24 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.00400888454169035, 'test_accuracy': 0.9902825355529785, 'test_precision': 0.20781634747982025, 'test_recall': 0.5213581323623657, 'test_f1': 0.2942279875278473, 'communication_cost': 2915632}
[ 2026-03-27 14:12:32 | node_24 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:32 | node_21 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:32 | node_8 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:32 | node_11 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:32 | node_8 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:32 | node_14 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:32 | node_27 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:32 | node_27 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:33 | node_5 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:33 | node_5 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:33 | node_17 | INFO ] 🧩 Model added for round 149 (10/10) from ['node_41']
[ 2026-03-27 14:12:33 | node_25 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:33 | node_25 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:33 | node_28 | INFO ] 🧩 Model added for round 149 (11/12) from ['node_23']
[ 2026-03-27 14:12:33 | node_24 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:33 | node_43 | INFO ] 🧩 Model added for round 149 (7/8) from ['node_46']
[ 2026-03-27 14:12:33 | node_24 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:34 | node_19 | INFO ] 🧩 Model added for round 149 (9/9) from ['node_41']
[ 2026-03-27 14:12:34 | node_38 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:34 | node_38 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:34 | node_31 | INFO ] 🧩 Model added for round 149 (10/10) from ['node_23']
[ 2026-03-27 14:12:34 | node_18 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:34 | node_44 | INFO ] 🧩 Model added for round 149 (9/10) from ['node_46']
[ 2026-03-27 14:12:34 | node_18 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:35 | node_49 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:35 | node_49 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:35 | node_22 | INFO ] 🧩 Model added for round 149 (9/9) from ['node_41']
[ 2026-03-27 14:12:35 | node_17 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:35 | node_19 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:35 | node_31 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:35 | node_40 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:35 | node_40 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:36 | node_38 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003991942852735519, 'test_accuracy': 0.9904624819755554, 'test_precision': 0.2034488320350647, 'test_recall': 0.5534963011741638, 'test_f1': 0.2950310707092285, 'communication_cost': 6560172}
[ 2026-03-27 14:12:36 | node_19 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:36 | node_38 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:36 | node_17 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:36 | node_31 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:36 | node_18 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003274934133514762, 'test_accuracy': 0.9906432628631592, 'test_precision': 0.2563861310482025, 'test_recall': 0.749673068523407, 'test_f1': 0.37527191638946533, 'communication_cost': 4373448}
[ 2026-03-27 14:12:36 | node_18 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:36 | node_45 | INFO ] 🧩 Model added for round 149 (7/9) from ['node_46']
[ 2026-03-27 14:12:36 | node_22 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:36 | node_33 | INFO ] 🧩 Model added for round 149 (3/4) from ['node_23']
[ 2026-03-27 14:12:36 | node_23 | INFO ] 🧩 Model added for round 149 (14/14) from ['node_41']
[ 2026-03-27 14:12:37 | node_49 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0033133714459836483, 'test_accuracy': 0.9899226427078247, 'test_precision': 0.2154475301504135, 'test_recall': 0.7840023636817932, 'test_f1': 0.3287566006183624, 'communication_cost': 5102356}
[ 2026-03-27 14:12:37 | node_49 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:37 | node_40 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003363595809787512, 'test_accuracy': 0.9903724789619446, 'test_precision': 0.2681291997432709, 'test_recall': 0.6955403685569763, 'test_f1': 0.38261234760284424, 'communication_cost': 5831264}
[ 2026-03-27 14:12:37 | node_40 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:37 | node_22 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:38 | node_18 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:38 | node_18 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:38 | node_34 | INFO ] 🧩 Model added for round 149 (11/11) from ['node_23']
[ 2026-03-27 14:12:38 | node_38 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:38 | node_38 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:38 | node_28 | INFO ] 🧩 Model added for round 149 (12/12) from ['node_41']
