[ 2026-02-16 07:17:43 | 0.0.0.0:35605 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.018518518656492233, 'test_precision': 0.003703703870996833, 'test_recall': 0.20000000298023224, 'test_f1': 0.007272726856172085}
[ 2026-02-16 07:17:43 | 0.0.0.0:35605 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:43 | 0.0.0.0:57821 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:43 | 0.0.0.0:57821 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 07:17:43 | 0.0.0.0:57821 | INFO ] ✅ [FORCE] Local model added for round 52. (1/7)
[ 2026-02-16 07:17:44 | 0.0.0.0:49691 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:44 | 0.0.0.0:49691 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:44 | 0.0.0.0:50639 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:44 | 0.0.0.0:51729 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:44 | 0.0.0.0:49691 | INFO ] ♻️ Proactively processing 1 early models for round 52.
[ 2026-02-16 07:17:44 | 0.0.0.0:50639 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:44 | 0.0.0.0:51729 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:44 | 0.0.0.0:49691 | INFO ] 🧩 Model added for round 52 (1/7) from ['0.0.0.0:51341']
[ 2026-02-16 07:17:44 | 0.0.0.0:33095 | INFO ] 📤 Sending model to 7 direct neighbors: ['0.0.0.0:34309', '0.0.0.0:38225', '0.0.0.0:43721', '0.0.0.0:41053', '0.0.0.0:36497', '0.0.0.0:38033', '0.0.0.0:35605']
[ 2026-02-16 07:17:44 | 0.0.0.0:49691 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:44 | 0.0.0.0:50639 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:44 | 0.0.0.0:43835 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:44 | 0.0.0.0:51729 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:44 | 0.0.0.0:43835 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:44 | 0.0.0.0:49691 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:44 | 0.0.0.0:49691 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 07:17:44 | 0.0.0.0:57351 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:44 | 0.0.0.0:49691 | INFO ] ✅ [FORCE] Local model added for round 52. (2/7)
[ 2026-02-16 07:17:44 | 0.0.0.0:43835 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:44 | 0.0.0.0:57351 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:44 | 0.0.0.0:50639 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:44 | 0.0.0.0:50639 | INFO ] 🛠️ Calling force_add_local_model...
