[ 2026-02-15 07:48:34 | 0.0.0.0:38649 | INFO ] 📈 Evaluated. Results: {'test_loss': 4.604922294616699, 'test_acc': 0.875, 'test_precision': 0.8902007937431335, 'test_recall': 0.8895363807678223, 'test_f1': 0.8794494867324829}
[ 2026-02-15 07:48:34 | 0.0.0.0:38649 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:34 | 0.0.0.0:45741 | INFO ] 📈 Evaluated. Results: {'test_loss': 2.42425274848938, 'test_acc': 0.8999999761581421, 'test_precision': 0.90134596824646, 'test_recall': 0.8922707438468933, 'test_f1': 0.8922576308250427}
[ 2026-02-15 07:48:34 | 0.0.0.0:45741 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:34 | 0.0.0.0:38649 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:48:34 | 0.0.0.0:38649 | INFO ] 🎉 Round 69 of 100 finished.
[ 2026-02-15 07:48:34 | 0.0.0.0:38649 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 46
[ 2026-02-15 07:48:34 | 0.0.0.0:45741 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:34 | 0.0.0.0:45741 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:34 | 0.0.0.0:45741 | INFO ] ✅ [FORCE] Local model added. (1/3)
[ 2026-02-15 07:48:34 | 0.0.0.0:45741 | INFO ] 🎉 Round 67 of 100 finished.
[ 2026-02-15 07:48:34 | 0.0.0.0:45741 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 46
[ 2026-02-15 07:48:34 | 0.0.0.0:45741 | INFO ] ♻️ Proactively processing 1 early models.
[ 2026-02-15 07:48:34 | 0.0.0.0:45741 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:34 | 0.0.0.0:38649 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:48:34 | 0.0.0.0:38649 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:48:34 | 0.0.0.0:38649 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:48:34 | 0.0.0.0:38649 | INFO ] ♻️ Proactively processing 2 early models.
[ 2026-02-15 07:48:34 | 0.0.0.0:38649 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:48:34 | 0.0.0.0:38649 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:35 | 0.0.0.0:38649 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:48:35 | 0.0.0.0:45741 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:35 | 0.0.0.0:45741 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:35 | 0.0.0.0:45741 | INFO ] ✅ [FORCE] Local model added. (1/3)
[ 2026-02-15 07:48:35 | 0.0.0.0:38649 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:35 | 0.0.0.0:38649 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:35 | 0.0.0.0:38649 | INFO ] ✅ [FORCE] Local model added. (1/6)
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 📈 Evaluated. Results: {'test_loss': 2.9133758544921875, 'test_acc': 0.9100000262260437, 'test_precision': 0.909258246421814, 'test_recall': 0.9103184342384338, 'test_f1': 0.9048706293106079}
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🎉 Round 69 of 100 finished.
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 46
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] ♻️ Proactively processing 6 early models.
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🧩 Model added (1/3) from ['0.0.0.0:44241']
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🧩 Model added (2/3) from ['0.0.0.0:38649']
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:35 | 0.0.0.0:55603 | INFO ] 📤 Sending model to 1 direct neighbors: ['0.0.0.0:58489']
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 📈 Evaluated. Results: {'test_loss': 2.9133758544921875, 'test_acc': 0.9100000262260437, 'test_precision': 0.909258246421814, 'test_recall': 0.9103184342384338, 'test_f1': 0.9048706293106079}
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🎉 Round 70 of 100 finished.
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 46
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] ✅ [FORCE] Local model added. (1/3)
[ 2026-02-15 07:48:35 | 0.0.0.0:53567 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | INFO ] 📈 Evaluated. Results: {'test_loss': 2.5441482067108154, 'test_acc': 0.9200000166893005, 'test_precision': 0.9132639169692993, 'test_recall': 0.9050276875495911, 'test_f1': 0.9037652611732483}
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | INFO ] 🎉 Round 90 of 100 finished.
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 48
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:48:36 | 0.0.0.0:42895 | INFO ] 🧩 Model added (2/4) from ['0.0.0.0:58489']
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:36 | 0.0.0.0:58489 | INFO ] ✅ [FORCE] Local model added. (1/9)
[ 2026-02-15 07:48:37 | 0.0.0.0:45741 | INFO ] 🧩 Model added (2/3) from ['0.0.0.0:58489']
[ 2026-02-15 07:48:37 | 0.0.0.0:58489 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:48:37 | 0.0.0.0:58489 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:37 | 0.0.0.0:58489 | INFO ] 📈 Evaluated. Results: {'test_loss': 2.54392671585083, 'test_acc': 0.9200000166893005, 'test_precision': 0.9132639169692993, 'test_recall': 0.9050276875495911, 'test_f1': 0.9037652611732483}
[ 2026-02-15 07:48:37 | 0.0.0.0:58489 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:37 | 0.0.0.0:58489 | INFO ] 🎉 Round 91 of 100 finished.
[ 2026-02-15 07:48:37 | 0.0.0.0:58489 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 48
[ 2026-02-15 07:48:37 | 0.0.0.0:58489 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | INFO ] 📈 Evaluated. Results: {'test_loss': 2.975058078765869, 'test_acc': 0.8799999952316284, 'test_precision': 0.9103606939315796, 'test_recall': 0.8774072527885437, 'test_f1': 0.8793166875839233}
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | INFO ] 🎉 Round 91 of 100 finished.
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 48
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:48:37 | 0.0.0.0:58489 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:37 | 0.0.0.0:58489 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:37 | 0.0.0.0:58489 | INFO ] ✅ [FORCE] Local model added. (1/9)
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:37 | 0.0.0.0:55603 | INFO ] ✅ [FORCE] Local model added. (1/2)
[ 2026-02-15 07:48:37 | 0.0.0.0:44241 | INFO ] 🧩 Model added (2/6) from ['0.0.0.0:58489']
[ 2026-02-15 07:48:38 | 0.0.0.0:58489 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:48:38 | 0.0.0.0:58489 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:38 | 0.0.0.0:50849 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:48:38 | 0.0.0.0:50849 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:38 | 0.0.0.0:44241 | INFO ] 📤 Sending model to 5 direct neighbors: ['0.0.0.0:50849', '0.0.0.0:56483', '0.0.0.0:53567', '0.0.0.0:44333', '0.0.0.0:58489']
[ 2026-02-15 07:48:38 | 0.0.0.0:58489 | INFO ] 📈 Evaluated. Results: {'test_loss': 2.5437095165252686, 'test_acc': 0.9200000166893005, 'test_precision': 0.9132639169692993, 'test_recall': 0.9050276875495911, 'test_f1': 0.9037652611732483}
[ 2026-02-15 07:48:38 | 0.0.0.0:58489 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:38 | 0.0.0.0:53567 | INFO ] 🧩 Model added (2/3) from ['0.0.0.0:44241']
[ 2026-02-15 07:48:38 | 0.0.0.0:35409 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:39949', '0.0.0.0:40971']
[ 2026-02-15 07:48:38 | 0.0.0.0:50849 | INFO ] 📈 Evaluated. Results: {'test_loss': 4.024542331695557, 'test_acc': 0.8849999904632568, 'test_precision': 0.8977198004722595, 'test_recall': 0.8698076009750366, 'test_f1': 0.8669664859771729}
[ 2026-02-15 07:48:38 | 0.0.0.0:50849 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:38 | 0.0.0.0:40971 | INFO ] 🧩 Model added (2/5) from ['0.0.0.0:35409']
[ 2026-02-15 07:48:38 | 0.0.0.0:58489 | INFO ] 🎉 Round 92 of 100 finished.
[ 2026-02-15 07:48:38 | 0.0.0.0:58489 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 48
[ 2026-02-15 07:48:38 | 0.0.0.0:58489 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:38 | 0.0.0.0:50849 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:48:38 | 0.0.0.0:50849 | INFO ] 🎉 Round 47 of 100 finished.
[ 2026-02-15 07:48:38 | 0.0.0.0:50849 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 49
[ 2026-02-15 07:48:38 | 0.0.0.0:50849 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:38 | 0.0.0.0:50849 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:48:38 | 0.0.0.0:36333 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:48:38 | 0.0.0.0:36333 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:38 | 0.0.0.0:38439 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:57653', '0.0.0.0:53039', '0.0.0.0:53175', '0.0.0.0:42473']
[ 2026-02-15 07:48:38 | 0.0.0.0:38439 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:57653', '0.0.0.0:53039', '0.0.0.0:53175', '0.0.0.0:42473']
[ 2026-02-15 07:48:38 | 0.0.0.0:44241 | INFO ] 📤 Sending model to 5 direct neighbors: ['0.0.0.0:50849', '0.0.0.0:56483', '0.0.0.0:53567', '0.0.0.0:44333', '0.0.0.0:58489']
[ 2026-02-15 07:48:38 | 0.0.0.0:58489 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:38 | 0.0.0.0:58489 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:38 | 0.0.0.0:58489 | INFO ] ✅ [FORCE] Local model added. (1/9)
[ 2026-02-15 07:48:39 | 0.0.0.0:50849 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:48:39 | 0.0.0.0:50849 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:39 | 0.0.0.0:50849 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:39 | 0.0.0.0:50849 | INFO ] ✅ [FORCE] Local model added. (1/8)
[ 2026-02-15 07:48:39 | 0.0.0.0:50849 | INFO ] 🧩 Model added (2/8) from ['0.0.0.0:44241']
[ 2026-02-15 07:48:39 | 0.0.0.0:36333 | INFO ] 📈 Evaluated. Results: {'test_loss': 5.337619781494141, 'test_acc': 0.8849999904632568, 'test_precision': 0.8945127725601196, 'test_recall': 0.8940889239311218, 'test_f1': 0.8867529034614563}
[ 2026-02-15 07:48:39 | 0.0.0.0:36333 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:39 | 0.0.0.0:36333 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:48:39 | 0.0.0.0:40971 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:37467', '0.0.0.0:53175', '0.0.0.0:35409', '0.0.0.0:51431']
[ 2026-02-15 07:48:39 | 0.0.0.0:49825 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:48:39 | 0.0.0.0:49825 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:39 | 0.0.0.0:51295 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:48:39 | 0.0.0.0:49825 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:48:39 | 0.0.0.0:51295 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:39 | 0.0.0.0:36333 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:48:39 | 0.0.0.0:36333 | INFO ] 🎉 Round 66 of 100 finished.
[ 2026-02-15 07:48:39 | 0.0.0.0:36333 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:39 | 0.0.0.0:36333 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 47
[ 2026-02-15 07:48:39 | 0.0.0.0:49825 | INFO ] 📈 Evaluated. Results: {'test_loss': 3.2262754440307617, 'test_acc': 0.9049999713897705, 'test_precision': 0.9083670973777771, 'test_recall': 0.9089787006378174, 'test_f1': 0.8994846940040588}
[ 2026-02-15 07:48:39 | 0.0.0.0:45741 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:36333', '0.0.0.0:58489']
[ 2026-02-15 07:48:39 | 0.0.0.0:49825 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:39 | 0.0.0.0:51295 | INFO ] 📈 Evaluated. Results: {'test_loss': 3.292015790939331, 'test_acc': 0.8799999952316284, 'test_precision': 0.8806078433990479, 'test_recall': 0.8767703175544739, 'test_f1': 0.8701362609863281}
[ 2026-02-15 07:48:39 | 0.0.0.0:51295 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:39 | 0.0.0.0:36333 | INFO ] 📈 Evaluated. Results: {'test_loss': 5.337619781494141, 'test_acc': 0.8849999904632568, 'test_precision': 0.8945127725601196, 'test_recall': 0.8940889239311218, 'test_f1': 0.8867529034614563}
[ 2026-02-15 07:48:39 | 0.0.0.0:36333 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:39 | 0.0.0.0:49825 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:48:39 | 0.0.0.0:49825 | INFO ] 🎉 Round 98 of 100 finished.
[ 2026-02-15 07:48:39 | 0.0.0.0:49825 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:39 | 0.0.0.0:49825 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 47
[ 2026-02-15 07:48:39 | 0.0.0.0:36333 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:48:39 | 0.0.0.0:36333 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:39 | 0.0.0.0:36333 | INFO ] 🧩 Model added (1/8) from ['0.0.0.0:45741']
[ 2026-02-15 07:48:39 | 0.0.0.0:51295 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:48:40 | 0.0.0.0:51295 | INFO ] 🎉 Round 50 of 100 finished.
[ 2026-02-15 07:48:40 | 0.0.0.0:51295 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 49
[ 2026-02-15 07:48:40 | 0.0.0.0:36333 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:48:40 | 0.0.0.0:49825 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:48:40 | 0.0.0.0:49825 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:48:40 | 0.0.0.0:38649 | INFO ] 📤 Sending model to 5 direct neighbors: ['0.0.0.0:39949', '0.0.0.0:50849', '0.0.0.0:41781', '0.0.0.0:53567', '0.0.0.0:44333']
[ 2026-02-15 07:48:40 | 0.0.0.0:45741 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:36333', '0.0.0.0:58489']
[ 2026-02-15 07:48:40 | 0.0.0.0:49825 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:48:40 | 0.0.0.0:49825 | INFO ] 📈 Evaluated. Results: {'test_loss': 3.2262754440307617, 'test_acc': 0.9049999713897705, 'test_precision': 0.9083670973777771, 'test_recall': 0.9089787006378174, 'test_f1': 0.8994846940040588}
[ 2026-02-15 07:48:40 | 0.0.0.0:49825 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:40 | 0.0.0.0:51295 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:48:40 | 0.0.0.0:51295 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:40 | 0.0.0.0:36333 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:40 | 0.0.0.0:47999 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:48:40 | 0.0.0.0:36333 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:40 | 0.0.0.0:36333 | INFO ] ✅ [FORCE] Local model added. (2/8)
[ 2026-02-15 07:48:40 | 0.0.0.0:47999 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:48:40 | 0.0.0.0:36333 | INFO ] 🎉 Round 67 of 100 finished.
[ 2026-02-15 07:48:40 | 0.0.0.0:36333 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 47
