[ 2026-05-15 11:23:17 | node_34 | INFO ] 🧩 Model added for round 98 (2/7) from ['node_22']
[ 2026-05-15 11:23:17 | node_34 | INFO ] 🧩 Model added for round 98 (3/7) from ['node_8']
[ 2026-05-15 11:23:17 | node_34 | INFO ] 🧩 Model added for round 98 (4/7) from ['node_13']
[ 2026-05-15 11:23:17 | node_34 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 11:23:17 | node_22 | INFO ] 🧩 Model added for round 98 (7/8) from ['node_47']
[ 2026-05-15 11:23:17 | node_11 | INFO ] 🎓 Training step done.
[ 2026-05-15 11:23:17 | node_12 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 11:23:17 | node_12 | INFO ] ✅ [FORCE] Local model added for round 98. (13/14)
[ 2026-05-15 11:23:17 | node_12 | INFO ] 📤 Sending model to 13 direct neighbors: ['node_1', 'node_3', 'node_4', 'node_7', 'node_8', 'node_9', 'node_13', 'node_14', 'node_21', 'node_24', 'node_27', 'node_39', 'node_43']
[ 2026-05-15 11:23:18 | node_1 | INFO ] 🧩 Model added for round 98 (11/11) from ['node_12']
[ 2026-05-15 11:23:18 | node_34 | INFO ] 🎓 Training step done.
[ 2026-05-15 11:23:18 | node_48 | INFO ] 🧩 Model added for round 98 (6/7) from ['node_46']
[ 2026-05-15 11:23:18 | node_33 | INFO ] 🧩 Model added for round 98 (5/6) from ['node_47']
[ 2026-05-15 11:23:19 | node_1 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-15 11:23:19 | node_41 | INFO ] 🎉 Round 98 of 100 finished.
[ 2026-05-15 11:23:19 | node_41 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 11:23:19 | node_41 | INFO ] ♻️ Proactively processing 5 early models for round 98.
[ 2026-05-15 11:23:19 | node_41 | INFO ] 🧩 Model added for round 98 (1/8) from ['node_48']
[ 2026-05-15 11:23:19 | node_41 | INFO ] 🧩 Model added for round 98 (2/8) from ['node_25']
[ 2026-05-15 11:23:19 | node_41 | INFO ] 🧩 Model added for round 98 (3/8) from ['node_26']
[ 2026-05-15 11:23:19 | node_41 | INFO ] 🧩 Model added for round 98 (4/8) from ['node']
[ 2026-05-15 11:23:19 | node_41 | INFO ] 🧩 Model added for round 98 (5/8) from ['node_8']
[ 2026-05-15 11:23:19 | node_41 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 11:23:19 | node_34 | INFO ] 🧩 Model added for round 98 (5/7) from ['node_47']
[ 2026-05-15 11:23:19 | node_3 | INFO ] 🧩 Model added for round 98 (7/8) from ['node_12']
[ 2026-05-15 11:23:19 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-15 11:23:19 | node_39 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 11:23:20 | node_39 | INFO ] ✅ [FORCE] Local model added for round 98. (10/14)
[ 2026-05-15 11:23:20 | node_41 | INFO ] 🎓 Training step done.
[ 2026-05-15 11:23:20 | node_39 | INFO ] 📤 Sending model to 13 direct neighbors: ['node_4', 'node_7', 'node_11', 'node_12', 'node_15', 'node_20', 'node_23', 'node_25', 'node_34', 'node_35', 'node_36', 'node_38', 'node_42']
[ 2026-05-15 11:23:20 | node_4 | INFO ] 🧩 Model added for round 98 (8/11) from ['node_12']
[ 2026-05-15 11:23:20 | node_4 | INFO ] 🧩 Model added for round 98 (9/11) from ['node_39']
[ 2026-05-15 11:23:20 | node_43 | INFO ] 🧩 Model added for round 98 (11/13) from ['node_47']
[ 2026-05-15 11:23:21 | node_7 | INFO ] 🧩 Model added for round 98 (7/8) from ['node_12']
[ 2026-05-15 11:23:21 | node_7 | INFO ] 🧩 Model added for round 98 (8/8) from ['node_39']
[ 2026-05-15 11:23:22 | node_2 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-15 11:23:22 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-05-15 11:23:22 | node_7 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-15 11:23:22 | node_11 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 11:23:22 | node_11 | INFO ] ✅ [FORCE] Local model added for round 98. (10/13)
[ 2026-05-15 11:23:22 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.22920414805412292, 'test_acc': 0.9644128084182739, 'test_precision': 0.619852602481842, 'test_recall': 0.6344110369682312, 'test_f1': 0.6213654279708862, 'communication_cost': 26343772}
[ 2026-05-15 11:23:22 | node_11 | INFO ] 📤 Sending model to 12 direct neighbors: ['node_3', 'node_4', 'node_13', 'node_25', 'node_26', 'node_28', 'node_29', 'node_33', 'node_35', 'node_36', 'node_39', 'node_41']
[ 2026-05-15 11:23:22 | node_7 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-15 11:23:23 | node_11 | INFO ] 🧩 Model added for round 98 (11/13) from ['node_39']
[ 2026-05-15 11:23:23 | node_8 | INFO ] 🧩 Model added for round 98 (12/15) from ['node_12']
[ 2026-05-15 11:23:23 | node_3 | INFO ] 🧩 Model added for round 98 (8/8) from ['node_11']
[ 2026-05-15 11:23:23 | node_34 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 11:23:23 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 11:23:23 | node_34 | INFO ] ✅ [FORCE] Local model added for round 98. (6/7)
[ 2026-05-15 11:23:23 | node_34 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_8', 'node_13', 'node_22', 'node_25', 'node_39', 'node_47']
[ 2026-05-15 11:23:23 | node_6 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-15 11:23:23 | node_6 | INFO ] 🔬 Evaluating...
[ 2026-05-15 11:23:24 | node_6 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.18896640837192535, 'test_acc': 0.9879032373428345, 'test_precision': 0.9961597323417664, 'test_recall': 0.9721582531929016, 'test_f1': 0.9830665588378906, 'communication_cost': 37633960}
[ 2026-05-15 11:23:24 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 11:23:24 | node_8 | INFO ] 🧩 Model added for round 98 (13/15) from ['node_34']
