[ 2026-03-14 02:25:31 | None | INFO ] Created experiment folder: /mnt/c/Users/thaih/HK252/DATN/p2pfl/experiments/fraudTrain.csv_fraudTest.csv_RandomIIDPartitionStrategy_FedAvg_model_build_fn_20260314_022531 and copied fraud.yaml
[ 2026-03-14 02:43:04 | node_2 | INFO ] 🎉 Round 1 of 2 finished.
[ 2026-03-14 02:43:04 | node_2 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-03-14 02:43:04 | node_2 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-14 02:44:32 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.027392257004976273, 'test_accuracy': 0.9961779117584229, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 95196}
[ 2026-03-14 02:44:32 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-14 02:44:32 | node_1 | INFO ] 🎉 Round 1 of 2 finished.
[ 2026-03-14 02:44:32 | node_1 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-03-14 02:44:32 | node_1 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-14 02:44:32 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.01852094568312168, 'test_accuracy': 0.9961455464363098, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 95196}
[ 2026-03-14 02:44:32 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-03-14 02:44:32 | node | INFO ] 🎉 Round 1 of 2 finished.
[ 2026-03-14 02:44:32 | node | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-03-14 02:44:32 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-14 02:47:42 | node_2 | INFO ] 🎓 Training step done.
[ 2026-03-14 02:47:42 | node_2 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-14 02:47:42 | node_2 | INFO ] ✅ [FORCE] Local model added for round 1. (1/3)
