[ 2026-02-15 17:22:26 | 0.0.0.0:41105 | INFO ] 📤 Sending model to 10 direct neighbors: ['0.0.0.0:46071', '0.0.0.0:48389', '0.0.0.0:46831', '0.0.0.0:54897', '0.0.0.0:48057', '0.0.0.0:53195', '0.0.0.0:36643', '0.0.0.0:57969', '0.0.0.0:55477', '0.0.0.0:59979']
[ 2026-02-15 17:22:26 | 0.0.0.0:53195 | INFO ] ♻️ Proactively processing 5 early models for round 93.
[ 2026-02-15 17:22:26 | 0.0.0.0:40387 | INFO ] 🧩 Model added for round 93 (5/9) from ['0.0.0.0:48947']
[ 2026-02-15 17:22:26 | 0.0.0.0:53195 | INFO ] 🧩 Model added for round 93 (1/13) from ['0.0.0.0:41719']
[ 2026-02-15 17:22:26 | 0.0.0.0:53195 | INFO ] 🧩 Model added for round 93 (2/13) from ['0.0.0.0:46831']
[ 2026-02-15 17:22:27 | 0.0.0.0:53195 | INFO ] 🧩 Model added for round 93 (3/13) from ['0.0.0.0:50457']
[ 2026-02-15 17:22:27 | 0.0.0.0:53195 | INFO ] 🧩 Model added for round 93 (4/13) from ['0.0.0.0:48389']
[ 2026-02-15 17:22:27 | 0.0.0.0:53195 | INFO ] 🧩 Model added for round 93 (5/13) from ['0.0.0.0:42797']
[ 2026-02-15 17:22:27 | 0.0.0.0:53195 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 17:22:27 | 0.0.0.0:59979 | INFO ] 📤 Sending model to 8 direct neighbors: ['0.0.0.0:36253', '0.0.0.0:48389', '0.0.0.0:46831', '0.0.0.0:41105', '0.0.0.0:43967', '0.0.0.0:42387', '0.0.0.0:48057', '0.0.0.0:50457']
[ 2026-02-15 17:22:27 | 0.0.0.0:56811 | INFO ] 🧩 Model added for round 93 (6/12) from ['0.0.0.0:57037']
[ 2026-02-15 17:22:27 | 0.0.0.0:48389 | INFO ] 🧩 Model added for round 93 (6/11) from ['0.0.0.0:41105']
[ 2026-02-15 17:22:27 | 0.0.0.0:53195 | INFO ] 🎓 Training step done.
[ 2026-02-15 17:22:27 | 0.0.0.0:53195 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 17:22:27 | 0.0.0.0:53195 | INFO ] ✅ [FORCE] Local model added for round 93. (6/13)
[ 2026-02-15 17:22:27 | 0.0.0.0:53747 | INFO ] 🧩 Model added for round 93 (5/5) from ['0.0.0.0:57243']
[ 2026-02-15 17:22:27 | 0.0.0.0:36253 | INFO ] 🧩 Model added for round 93 (7/11) from ['0.0.0.0:59979']
[ 2026-02-15 17:22:28 | 0.0.0.0:42387 | INFO ] 📤 Sending model to 10 direct neighbors: ['0.0.0.0:54771', '0.0.0.0:38701', '0.0.0.0:59667', '0.0.0.0:35715', '0.0.0.0:42797', '0.0.0.0:45421', '0.0.0.0:57037', '0.0.0.0:36383', '0.0.0.0:50523', '0.0.0.0:59979']
[ 2026-02-15 17:22:28 | 0.0.0.0:60407 | INFO ] 📤 Sending model to 11 direct neighbors: ['0.0.0.0:42785', '0.0.0.0:42797', '0.0.0.0:45421', '0.0.0.0:58189', '0.0.0.0:48947', '0.0.0.0:46831', '0.0.0.0:50523', '0.0.0.0:55885', '0.0.0.0:48057', '0.0.0.0:36643', '0.0.0.0:42749']
[ 2026-02-15 17:22:28 | 0.0.0.0:36253 | INFO ] 📤 Sending model to 10 direct neighbors: ['0.0.0.0:54771', '0.0.0.0:40387', '0.0.0.0:41291', '0.0.0.0:45321', '0.0.0.0:57037', '0.0.0.0:53995', '0.0.0.0:53195', '0.0.0.0:53873', '0.0.0.0:59979', '0.0.0.0:55433']
[ 2026-02-15 17:22:28 | 0.0.0.0:36383 | INFO ] 📤 Sending model to 8 direct neighbors: ['0.0.0.0:59667', '0.0.0.0:33141', '0.0.0.0:45421', '0.0.0.0:45321', '0.0.0.0:58189', '0.0.0.0:46831', '0.0.0.0:60909', '0.0.0.0:42387']
[ 2026-02-15 17:22:28 | 0.0.0.0:48057 | INFO ] 📤 Sending model to 5 direct neighbors: ['0.0.0.0:48947', '0.0.0.0:41105', '0.0.0.0:43967', '0.0.0.0:59979', '0.0.0.0:60407']
[ 2026-02-15 17:22:28 | 0.0.0.0:43967 | INFO ] 📤 Sending model to 11 direct neighbors: ['0.0.0.0:42785', '0.0.0.0:40387', '0.0.0.0:56811', '0.0.0.0:42797', '0.0.0.0:48057', '0.0.0.0:50457', '0.0.0.0:57243', '0.0.0.0:57969', '0.0.0.0:53873', '0.0.0.0:55477', '0.0.0.0:59979']
[ 2026-02-15 17:22:28 | 0.0.0.0:42721 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-15 17:22:28 | 0.0.0.0:53747 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 17:22:28 | 0.0.0.0:42721 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 17:22:28 | 0.0.0.0:48947 | INFO ] 🧩 Model added for round 93 (2/10) from ['0.0.0.0:40387']
[ 2026-02-15 17:22:28 | 0.0.0.0:42785 | INFO ] 🧩 Model added for round 93 (10/12) from ['0.0.0.0:60407']
