[ 2026-05-14 11:52:10 | node_9 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.16056695580482483, 'test_acc': 0.9572649598121643, 'test_precision': 0.7020854353904724, 'test_recall': 0.6813594698905945, 'test_f1': 0.6909617185592651, 'communication_cost': 19759530}
[ 2026-05-14 11:52:10 | node_28 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:10 | node_9 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:52:10 | node_22 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:52:10 | node_40 | INFO ] 🧩 Model added for round 93 (10/11) from ['node_34']
[ 2026-05-14 11:52:10 | node_14 | INFO ] 🧩 Model added for round 93 (9/9) from ['node_24']
[ 2026-05-14 11:52:10 | node_13 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:52:10 | node_40 | INFO ] 🧩 Model added for round 93 (11/11) from ['node_3']
[ 2026-05-14 11:52:11 | node_22 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:52:11 | node_14 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:11 | node_40 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:12 | node_32 | INFO ] 🧩 Model added for round 93 (7/7) from ['node_37']
[ 2026-05-14 11:52:12 | node_28 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:52:12 | node_25 | INFO ] 🧩 Model added for round 93 (12/12) from ['node_24']
[ 2026-05-14 11:52:12 | node_32 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:13 | node_41 | INFO ] 🧩 Model added for round 93 (11/12) from ['node_7']
[ 2026-05-14 11:52:13 | node_14 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:52:13 | node_41 | INFO ] 🧩 Model added for round 93 (12/12) from ['node_34']
[ 2026-05-14 11:52:13 | node_49 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:52:13 | node_42 | INFO ] 🧩 Model added for round 93 (13/13) from ['node_3']
[ 2026-05-14 11:52:13 | node_49 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:52:13 | node_40 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:52:13 | node_25 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:14 | node_39 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:52:14 | node_33 | INFO ] 🧩 Model added for round 93 (10/10) from ['node_37']
[ 2026-05-14 11:52:14 | node_49 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.09616714715957642, 'test_acc': 0.9794871807098389, 'test_precision': 0.8484872579574585, 'test_recall': 0.8293604254722595, 'test_f1': 0.8378477692604065, 'communication_cost': 8468370}
[ 2026-05-14 11:52:14 | node_39 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:52:14 | node_49 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:52:14 | node_42 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:14 | node_32 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:52:14 | node_41 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:14 | node_39 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:52:14 | node_33 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:15 | node_27 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:52:15 | node_27 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:52:15 | node_39 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:52:15 | node_27 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:52:16 | node_26 | INFO ] 🧩 Model added for round 93 (10/10) from ['node_24']
[ 2026-05-14 11:52:16 | node_22 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:52:16 | node_22 | INFO ] ✅ [FORCE] Local model added for round 94. (1/6)
[ 2026-05-14 11:52:16 | node_22 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_16', 'node_18', 'node_35', 'node_44', 'node_48']
[ 2026-05-14 11:52:16 | node_46 | INFO ] 🧩 Model added for round 93 (8/8) from ['node_34']
[ 2026-05-14 11:52:16 | node_44 | INFO ] 🧩 Model added for round 93 (9/9) from ['node_7']
[ 2026-05-14 11:52:16 | node_27 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:52:17 | node_9 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:52:17 | node_26 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:17 | node_25 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:52:17 | node_9 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:52:17 | node_46 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:17 | node_44 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:17 | node_43 | INFO ] 🧩 Model added for round 93 (11/11) from ['node_3']
[ 2026-05-14 11:52:17 | node_9 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:52:17 | node_33 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:52:18 | node_49 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:52:18 | node_41 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:52:18 | node_42 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:52:18 | node_49 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:52:18 | node_9 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:52:18 | node_49 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:52:18 | node_43 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:18 | node_12 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 11:52:19 | node_12 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:52:19 | node_48 | INFO ] 🧩 Model added for round 93 (8/8) from ['node_34']
[ 2026-05-14 11:52:19 | node_49 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:52:19 | node_29 | INFO ] 🧩 Model added for round 93 (7/7) from ['node_24']
[ 2026-05-14 11:52:19 | node_38 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:52:19 | node_26 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:52:19 | node_46 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:52:19 | node_47 | INFO ] 🧩 Model added for round 93 (4/5) from ['node_7']
[ 2026-05-14 11:52:19 | node_38 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:52:19 | node_44 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:52:20 | node_48 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:20 | node_29 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:52:20 | node_36 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:52:20 | node_38 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.16126792132854462, 'test_acc': 0.9618644118309021, 'test_precision': 0.7937853336334229, 'test_recall': 0.7898052930831909, 'test_f1': 0.7897508144378662, 'communication_cost': 19759530}
[ 2026-05-14 11:52:20 | node_12 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.22706949710845947, 'test_acc': 0.9417989253997803, 'test_precision': 0.6850108504295349, 'test_recall': 0.6741567850112915, 'test_f1': 0.677630603313446, 'communication_cost': 14113950}
[ 2026-05-14 11:52:20 | node_36 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:52:20 | node_38 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:52:20 | node_39 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:52:20 | node_12 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:52:20 | node_39 | INFO ] ✅ [FORCE] Local model added for round 94. (1/8)
[ 2026-05-14 11:52:21 | node_39 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_2', 'node_15', 'node_18', 'node_27', 'node_31', 'node_41', 'node_46']
