[ 2026-05-15 12:05:41 | node_3 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:41 | node_38 | INFO ] 🧩 Model added for round 94 (1/7) from ['node_12']
[ 2026-05-15 12:05:41 | node_24 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:41 | node_38 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:41 | node_28 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:41 | node_21 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:42 | node_28 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:42 | node_21 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:42 | node_44 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:42 | node_3 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:42 | node_21 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:42 | node_44 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:42 | node_21 | INFO ] 🧩 Model added for round 94 (1/10) from ['node_4']
[ 2026-05-15 12:05:42 | node_38 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:42 | node_26 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:42 | node_28 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:42 | node_44 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:42 | node_31 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:42 | node_26 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:42 | node_18 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:42 | node_33 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:42 | node_29 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:43 | node_22 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:43 | node_31 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:43 | node_44 | INFO ] 🧩 Model added for round 94 (1/8) from ['node_15']
[ 2026-05-15 12:05:43 | node_48 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:43 | node_18 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:43 | node_29 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:43 | node_33 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:43 | node_22 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:43 | node_47 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-15 12:05:43 | node_48 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:43 | node_32 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-15 12:05:43 | node_26 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.670676052570343, 'test_acc': 0.8225806355476379, 'test_precision': 0.3044981062412262, 'test_recall': 0.3142823874950409, 'test_f1': 0.2819797098636627, 'communication_cost': 30107168}
[ 2026-05-15 12:05:43 | node_26 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:43 | node_41 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:43 | node_21 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:43 | node_31 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.8703158497810364, 'test_acc': 0.887499988079071, 'test_precision': 0.5723317861557007, 'test_recall': 0.6481004357337952, 'test_f1': 0.5988853573799133, 'communication_cost': 26343772}
[ 2026-05-15 12:05:43 | node_39 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:43 | node_18 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.863219678401947, 'test_acc': 0.9672130942344666, 'test_precision': 0.7352941036224365, 'test_recall': 0.7386363744735718, 'test_f1': 0.7366102933883667, 'communication_cost': 22580376}
[ 2026-05-15 12:05:43 | node_29 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.15297269821167, 'test_acc': 0.6746987700462341, 'test_precision': 0.42134925723075867, 'test_recall': 0.5051949620246887, 'test_f1': 0.39471834897994995, 'communication_cost': 30107168}
[ 2026-05-15 12:05:43 | node_33 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.1028257608413696, 'test_acc': 0.7916666865348816, 'test_precision': 0.3492063581943512, 'test_recall': 0.33571428060531616, 'test_f1': 0.2830256223678589, 'communication_cost': 22580376}
[ 2026-05-15 12:05:43 | node_35 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:43 | node_42 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-15 12:05:43 | node_31 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:43 | node_48 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.0114582777023315, 'test_acc': 0.6349206566810608, 'test_precision': 0.24374999105930328, 'test_recall': 0.375, 'test_f1': 0.2711455225944519, 'communication_cost': 48924148}
[ 2026-05-15 12:05:43 | node_41 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:44 | node_22 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.8940173387527466, 'test_acc': 0.21402877569198608, 'test_precision': 0.18147054314613342, 'test_recall': 0.07990872114896774, 'test_f1': 0.08356402069330215, 'communication_cost': 15053584}
[ 2026-05-15 12:05:44 | node_18 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:44 | node_39 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:44 | node_42 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:44 | node_29 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:44 | node_33 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:44 | node_35 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:44 | node_48 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:44 | node_42 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:44 | node_22 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:44 | node_46 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:44 | node_39 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.1698317527770996, 'test_acc': 0.5486725568771362, 'test_precision': 0.3816699683666229, 'test_recall': 0.5529443621635437, 'test_f1': 0.414333701133728, 'communication_cost': 11290188}
[ 2026-05-15 12:05:44 | node_35 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-15 12:05:44 | node_46 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:44 | node_41 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.7930347919464111, 'test_acc': 0.8273809552192688, 'test_precision': 0.36940836906433105, 'test_recall': 0.35874858498573303, 'test_f1': 0.34635910391807556, 'communication_cost': 7526792}
[ 2026-05-15 12:05:44 | node_35 | INFO ] 🧩 Model added for round 94 (1/10) from ['node_15']
[ 2026-05-15 12:05:44 | node_39 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:44 | node_42 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.8893035054206848, 'test_acc': 0.8421052694320679, 'test_precision': 0.3333333432674408, 'test_recall': 0.46010637283325195, 'test_f1': 0.35332369804382324, 'communication_cost': 41397356}
[ 2026-05-15 12:05:44 | node_44 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:44 | node_41 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:44 | node_35 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:44 | node_46 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:44 | node_42 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:45 | node_34 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 12:05:45 | node_49 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:45 | node_45 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:45 | node_2 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-15 12:05:45 | node_34 | INFO ] ✅ [FORCE] Local model added for round 94. (1/6)
[ 2026-05-15 12:05:45 | node_2 | INFO ] ✅ [FORCE] Local model added for round 94. (1/6)
[ 2026-05-15 12:05:45 | node_49 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:45 | node_34 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_7', 'node_11', 'node_27', 'node_29', 'node_35']
[ 2026-05-15 12:05:45 | node_45 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:45 | node_2 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_20', 'node_24', 'node_26', 'node_30', 'node_38']
[ 2026-05-15 12:05:45 | node_47 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:45 | node_49 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-15 12:05:45 | node_47 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:46 | node_49 | INFO ] 🧩 Model added for round 94 (1/9) from ['node_19']
[ 2026-05-15 12:05:46 | node_45 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.0729528665542603, 'test_acc': 0.699999988079071, 'test_precision': 0.519345223903656, 'test_recall': 0.38025206327438354, 'test_f1': 0.3942723870277405, 'communication_cost': 30107168}
[ 2026-05-15 12:05:46 | node_35 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:46 | node_28 | INFO ] 🧩 Model added for round 94 (1/10) from ['node_4']
[ 2026-05-15 12:05:46 | node_49 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:46 | node_25 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-15 12:05:46 | node_45 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:46 | node_1 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-15 12:05:46 | node_46 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:46 | node_47 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.1047948598861694, 'test_acc': 0.7132866978645325, 'test_precision': 0.42567774653434753, 'test_recall': 0.48974987864494324, 'test_f1': 0.4086996018886566, 'communication_cost': 37633960}
[ 2026-05-15 12:05:46 | node_25 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:46 | node_47 | INFO ] 📢 Broadcasting metrics.
