[ 2026-05-14 15:32:10 | node_26 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:10 | node_36 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:11 | node_7 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.11820641160011292, 'test_acc': 0.9638158082962036, 'test_precision': 0.7894737124443054, 'test_recall': 0.7771927714347839, 'test_f1': 0.7829359769821167, 'communication_cost': 14113950}
[ 2026-05-14 15:32:11 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:11 | node_36 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.09035538882017136, 'test_acc': 0.9734042286872864, 'test_precision': 0.9034001231193542, 'test_recall': 0.9079391956329346, 'test_f1': 0.9046627879142761, 'communication_cost': 19759530}
[ 2026-05-14 15:32:11 | node_36 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:12 | node_16 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:12 | node_16 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:12 | node_12 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:12 | node_12 | INFO ] ✅ [FORCE] Local model added for round 94. (1/7)
[ 2026-05-14 15:32:12 | node_12 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_27', 'node_45', 'node_46', 'node_47', 'node_48', 'node_49']
[ 2026-05-14 15:32:12 | node_31 | INFO ] 🧩 Model added for round 94 (2/6) from ['node_1']
[ 2026-05-14 15:32:13 | node_9 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:13 | node_16 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.20923849940299988, 'test_acc': 0.9487179517745972, 'test_precision': 0.7750727534294128, 'test_recall': 0.7633571028709412, 'test_f1': 0.766147255897522, 'communication_cost': 11291160}
[ 2026-05-14 15:32:13 | node_19 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:13 | node_33 | INFO ] 🧩 Model added for round 93 (10/10) from ['node_3']
[ 2026-05-14 15:32:13 | node_19 | INFO ] ✅ [FORCE] Local model added for round 94. (1/6)
[ 2026-05-14 15:32:13 | node_16 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:13 | node_9 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:13 | node_19 | INFO ] 📤 Sending model to 5 direct neighbors: ['node', 'node_18', 'node_22', 'node_25', 'node_27']
[ 2026-05-14 15:32:14 | node_26 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:14 | node_9 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2036874145269394, 'test_acc': 0.9501661062240601, 'test_precision': 0.6578863859176636, 'test_recall': 0.6240779757499695, 'test_f1': 0.6386452913284302, 'communication_cost': 22582320}
[ 2026-05-14 15:32:14 | node_33 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:14 | node_9 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:15 | node_18 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:15 | node | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:16 | node_18 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:16 | node | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:16 | node_18 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-14 15:32:16 | node_18 | INFO ] 🧩 Model added for round 94 (1/7) from ['node_19']
[ 2026-05-14 15:32:16 | node_27 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:16 | node_49 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:16 | node_2 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:17 | node_18 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:17 | node_27 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:17 | node_49 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:17 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.10078646242618561, 'test_acc': 0.9753086566925049, 'test_precision': 0.7673525810241699, 'test_recall': 0.7777374386787415, 'test_f1': 0.7686287760734558, 'communication_cost': 14113950}
[ 2026-05-14 15:32:17 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:17 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:17 | node_18 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:18 | node_27 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.10679835826158524, 'test_acc': 0.9783549904823303, 'test_precision': 0.8237133026123047, 'test_recall': 0.8247382044792175, 'test_f1': 0.8234821557998657, 'communication_cost': 28227900}
[ 2026-05-14 15:32:18 | node_35 | INFO ] 🧩 Model added for round 93 (9/9) from ['node_3']
[ 2026-05-14 15:32:18 | node_49 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.23498797416687012, 'test_acc': 0.9405940771102905, 'test_precision': 0.6232062578201294, 'test_recall': 0.5922971367835999, 'test_f1': 0.6057572960853577, 'communication_cost': 28227900}
[ 2026-05-14 15:32:18 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3175738751888275, 'test_acc': 0.940092146396637, 'test_precision': 0.6335381865501404, 'test_recall': 0.6337328553199768, 'test_f1': 0.6321312785148621, 'communication_cost': 16936740}
[ 2026-05-14 15:32:18 | node_33 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:18 | node_27 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:18 | node_49 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:18 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:18 | node_7 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:18 | node_35 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:18 | node_7 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:19 | node_7 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:19 | node_16 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:19 | node_16 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:19 | node_16 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:19 | node_7 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:20 | node_37 | INFO ] 🧩 Model added for round 93 (12/12) from ['node_3']
[ 2026-05-14 15:32:20 | node_35 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:20 | node_16 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:20 | node_36 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:20 | node_36 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:21 | node_36 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:21 | node_15 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 15:32:21 | node_37 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:21 | node_15 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:21 | node_40 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 15:32:21 | node_11 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:21 | node_40 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:21 | node_15 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.08587855100631714, 'test_acc': 0.9746835231781006, 'test_precision': 0.8302626013755798, 'test_recall': 0.832368791103363, 'test_f1': 0.8303534388542175, 'communication_cost': 19759530}
[ 2026-05-14 15:32:21 | node_36 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:21 | node_15 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:21 | node_11 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:22 | node | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:22 | node_40 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.10538814216852188, 'test_acc': 0.9695945978164673, 'test_precision': 0.7837838530540466, 'test_recall': 0.7699249982833862, 'test_f1': 0.7732222080230713, 'communication_cost': 25405110}
[ 2026-05-14 15:32:22 | node_32 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:22 | node | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:22 | node_44 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:22 | node_11 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.29438862204551697, 'test_acc': 0.9414225816726685, 'test_precision': 0.5737696886062622, 'test_recall': 0.5806083679199219, 'test_f1': 0.5677124857902527, 'communication_cost': 16936740}
[ 2026-05-14 15:32:22 | node_40 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:22 | node_32 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:22 | node_11 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:22 | node | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-14 15:32:22 | node_44 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:22 | node | INFO ] 🧩 Model added for round 94 (1/6) from ['node_19']
[ 2026-05-14 15:32:22 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:22 | node_32 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0943094938993454, 'test_acc': 0.9846938848495483, 'test_precision': 0.9656366109848022, 'test_recall': 0.977939784526825, 'test_f1': 0.9666229486465454, 'communication_cost': 19759530}
[ 2026-05-14 15:32:22 | node_30 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:22 | node_9 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:23 | node_44 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.11283443123102188, 'test_acc': 0.9541984796524048, 'test_precision': 0.7993456721305847, 'test_recall': 0.8638333678245544, 'test_f1': 0.8160872459411621, 'communication_cost': 14113950}
[ 2026-05-14 15:32:23 | node_25 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:23 | node_38 | INFO ] 🧩 Model added for round 93 (9/9) from ['node_3']
[ 2026-05-14 15:32:23 | node_32 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:23 | node_9 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:23 | node_18 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:23 | node_30 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:23 | node_18 | INFO ] ✅ [FORCE] Local model added for round 94. (2/7)
[ 2026-05-14 15:32:23 | node_44 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:23 | node_18 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_15', 'node_19', 'node_24', 'node_27', 'node_37', 'node_49']
[ 2026-05-14 15:32:23 | node_25 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:23 | node_9 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:23 | node_2 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:23 | node | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:23 | node_2 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:23 | node_30 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.19409388303756714, 'test_acc': 0.9290780425071716, 'test_precision': 0.6621074080467224, 'test_recall': 0.6510478854179382, 'test_f1': 0.652531087398529, 'communication_cost': 19759530}
[ 2026-05-14 15:32:23 | node_37 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:23 | node_25 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0513513945043087, 'test_acc': 0.9811320900917053, 'test_precision': 0.7951781749725342, 'test_recall': 0.7875861525535583, 'test_f1': 0.7908085584640503, 'communication_cost': 19759530}
[ 2026-05-14 15:32:23 | node_30 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:23 | node_38 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:23 | node_2 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:24 | node_25 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:24 | node_20 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:24 | node_9 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:24 | node_20 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:24 | node_19 | INFO ] 🧩 Model added for round 94 (2/6) from ['node_18']
[ 2026-05-14 15:32:24 | node_2 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:25 | node_13 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:25 | node_20 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2526058256626129, 'test_acc': 0.9365671873092651, 'test_precision': 0.5863053202629089, 'test_recall': 0.5637784600257874, 'test_f1': 0.5744007229804993, 'communication_cost': 25405110}
[ 2026-05-14 15:32:25 | node_7 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:25 | node_7 | INFO ] ✅ [FORCE] Local model added for round 94. (1/6)
[ 2026-05-14 15:32:25 | node_20 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:25 | node_13 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:25 | node_7 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_5', 'node_22', 'node_28', 'node_33', 'node_41']
[ 2026-05-14 15:32:25 | node_39 | INFO ] 🧩 Model added for round 93 (12/12) from ['node_3']
[ 2026-05-14 15:32:25 | node_16 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:25 | node_13 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.11638949811458588, 'test_acc': 0.9691358208656311, 'test_precision': 0.8024691343307495, 'test_recall': 0.7973384261131287, 'test_f1': 0.7997816205024719, 'communication_cost': 14113950}
[ 2026-05-14 15:32:25 | node_38 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:25 | node_16 | INFO ] ✅ [FORCE] Local model added for round 94. (1/5)
[ 2026-05-14 15:32:25 | node_13 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:25 | node_16 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_2', 'node_20', 'node_29', 'node_37']
[ 2026-05-14 15:32:26 | node_39 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:26 | node_27 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:26 | node_2 | INFO ] 🧩 Model added for round 94 (1/7) from ['node_16']
[ 2026-05-14 15:32:26 | node_49 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:26 | node_27 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:26 | node_49 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:26 | node_36 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:27 | node_36 | INFO ] ✅ [FORCE] Local model added for round 94. (1/8)
[ 2026-05-14 15:32:27 | node_34 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:27 | node_36 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_2', 'node_4', 'node_5', 'node_6', 'node_8', 'node_10', 'node_27']
[ 2026-05-14 15:32:27 | node_27 | INFO ] ♻️ Proactively processing 3 early models for round 94.
[ 2026-05-14 15:32:27 | node_49 | INFO ] ♻️ Proactively processing 3 early models for round 94.
[ 2026-05-14 15:32:27 | node_27 | INFO ] 🧩 Model added for round 94 (1/11) from ['node_12']
[ 2026-05-14 15:32:27 | node_49 | INFO ] 🧩 Model added for round 94 (1/11) from ['node_42']
[ 2026-05-14 15:32:27 | node_27 | INFO ] 🧩 Model added for round 94 (2/11) from ['node_19']
[ 2026-05-14 15:32:27 | node_49 | INFO ] 🧩 Model added for round 94 (2/11) from ['node_31']
[ 2026-05-14 15:32:27 | node_34 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:27 | node_27 | INFO ] 🧩 Model added for round 94 (3/11) from ['node_18']
[ 2026-05-14 15:32:27 | node_49 | INFO ] 🧩 Model added for round 94 (3/11) from ['node_12']
[ 2026-05-14 15:32:27 | node_49 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:27 | node_27 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:27 | node_47 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:27 | node_2 | INFO ] 🧩 Model added for round 94 (2/7) from ['node_36']
[ 2026-05-14 15:32:27 | node_44 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:27 | node_11 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:27 | node_49 | INFO ] 🧩 Model added for round 94 (4/11) from ['node_18']
[ 2026-05-14 15:32:27 | node_34 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.16046254336833954, 'test_acc': 0.9556451439857483, 'test_precision': 0.7379739880561829, 'test_recall': 0.7054183483123779, 'test_f1': 0.7179718613624573, 'communication_cost': 28227900}
[ 2026-05-14 15:32:27 | node_47 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:27 | node_15 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:28 | node_44 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:28 | node_11 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:28 | node_15 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:28 | node_34 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:28 | node_27 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:28 | node_44 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:28 | node_23 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:28 | node_11 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:28 | node_15 | INFO ] ♻️ Proactively processing 2 early models for round 94.
[ 2026-05-14 15:32:28 | node_49 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:28 | node_47 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.07737050950527191, 'test_acc': 0.9791666865348816, 'test_precision': 0.8574156165122986, 'test_recall': 0.8522969484329224, 'test_f1': 0.8543331027030945, 'communication_cost': 16936740}
[ 2026-05-14 15:32:28 | node_15 | INFO ] 🧩 Model added for round 94 (1/8) from ['node_1']
[ 2026-05-14 15:32:28 | node_41 | INFO ] 🧩 Model added for round 93 (9/9) from ['node_3']
[ 2026-05-14 15:32:28 | node_47 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:28 | node_15 | INFO ] 🧩 Model added for round 94 (2/8) from ['node_18']
[ 2026-05-14 15:32:28 | node_23 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:28 | node | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:28 | node_15 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:28 | node | INFO ] ✅ [FORCE] Local model added for round 94. (2/6)
[ 2026-05-14 15:32:28 | node | INFO ] 📤 Sending model to 5 direct neighbors: ['node_4', 'node_19', 'node_22', 'node_35', 'node_45']
[ 2026-05-14 15:32:29 | node_44 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:29 | node_23 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2723578214645386, 'test_acc': 0.9599999785423279, 'test_precision': 0.7086561322212219, 'test_recall': 0.69910728931427, 'test_f1': 0.7034295797348022, 'communication_cost': 22582320}
[ 2026-05-14 15:32:29 | node_41 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:29 | node_9 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:29 | node_11 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:29 | node_15 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:29 | node_23 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:29 | node_39 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:29 | node_32 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:29 | node_5 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
