[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_33 (391.6974778175354). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_37 (405.97152161598206). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_22 (411.40357518196106). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_10 (411.6026611328125). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_13 (349.93722891807556). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_36 (318.4863157272339). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_35 (319.25076627731323). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_26 (322.8196964263916). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_8 (325.5579459667206). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_38 (324.8739330768585). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_7 (322.5208742618561). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_46 (315.9545669555664). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_30 (321.48165225982666). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_2 (352.0131084918976). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_39 (349.5927493572235). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_28 (414.81309962272644). Removing...
[ 2026-05-14 05:20:44 | node_34 | INFO ] Heartbeat timeout for node_25 (405.75417041778564). Removing...
[ 2026-05-14 05:20:44 | node_22 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.135471224784851, 'test_acc': 0.7900000214576721, 'test_precision': 0.7861968278884888, 'test_recall': 0.785576581954956, 'test_f1': 0.7618947625160217, 'communication_cost': 0}
[ 2026-05-14 05:20:44 | node_22 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 05:20:44 | node_22 | INFO ] 🎉 Round 23 of 100 finished.
[ 2026-05-14 05:20:44 | node_22 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 9
[ 2026-05-14 05:20:44 | node_22 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 05:20:44 | node_22 | INFO ] 🎓 Training step done.
[ 2026-05-14 05:20:45 | node | INFO ] Heartbeat timeout for node_39 (315.7799744606018). Removing...
