[ 2026-02-15 22:01:27 | 0.0.0.0:43941 | INFO ] 🧩 Model added for round 93 (7/14) from ['0.0.0.0:58125']
[ 2026-02-15 22:01:27 | 0.0.0.0:48293 | INFO ] 🧩 Model added for round 93 (8/13) from ['0.0.0.0:45461']
[ 2026-02-15 22:01:27 | 0.0.0.0:43941 | INFO ] 🧩 Model added for round 93 (8/14) from ['0.0.0.0:39315']
[ 2026-02-15 22:01:27 | 0.0.0.0:48293 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 22:01:27 | 0.0.0.0:43941 | INFO ] 🧩 Model added for round 93 (9/14) from ['0.0.0.0:53735']
[ 2026-02-15 22:01:27 | 0.0.0.0:43941 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 22:01:27 | 0.0.0.0:53735 | INFO ] 🧩 Model added for round 93 (6/10) from ['0.0.0.0:35461']
[ 2026-02-15 22:01:27 | 0.0.0.0:54177 | INFO ] 🧩 Model added for round 93 (6/7) from ['0.0.0.0:48911']
[ 2026-02-15 22:01:27 | 0.0.0.0:39315 | INFO ] 🧩 Model added for round 93 (3/10) from ['0.0.0.0:45461']
[ 2026-02-15 22:01:27 | 0.0.0.0:48293 | INFO ] 🎓 Training step done.
[ 2026-02-15 22:01:27 | 0.0.0.0:57855 | INFO ] 🧩 Model added for round 93 (3/7) from ['0.0.0.0:35401']
[ 2026-02-15 22:01:28 | 0.0.0.0:48293 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 22:01:28 | 0.0.0.0:43941 | INFO ] 🎓 Training step done.
[ 2026-02-15 22:01:28 | 0.0.0.0:48293 | INFO ] ✅ [FORCE] Local model added for round 93. (9/13)
[ 2026-02-15 22:01:28 | 0.0.0.0:35477 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-15 22:01:28 | 0.0.0.0:43941 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 22:01:28 | 0.0.0.0:56797 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 22:01:28 | 0.0.0.0:43941 | INFO ] ✅ [FORCE] Local model added for round 93. (10/14)
[ 2026-02-15 22:01:28 | 0.0.0.0:35477 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 22:01:28 | 0.0.0.0:59953 | INFO ] 🧩 Model added for round 93 (6/6) from ['0.0.0.0:34965']
[ 2026-02-15 22:01:28 | 0.0.0.0:35401 | INFO ] 🧩 Model added for round 93 (7/13) from ['0.0.0.0:39315']
[ 2026-02-15 22:01:28 | 0.0.0.0:35477 | INFO ] ♻️ Proactively processing 2 early models for round 93.
[ 2026-02-15 22:01:28 | 0.0.0.0:53859 | INFO ] 🧩 Model added for round 93 (5/8) from ['0.0.0.0:57461']
[ 2026-02-15 22:01:28 | 0.0.0.0:35477 | INFO ] 🧩 Model added for round 93 (1/7) from ['0.0.0.0:48911']
[ 2026-02-15 22:01:29 | 0.0.0.0:43579 | INFO ] 🧩 Model added for round 93 (4/6) from ['0.0.0.0:53735']
[ 2026-02-15 22:01:29 | 0.0.0.0:51783 | INFO ] 📤 Sending model to 13 direct neighbors: ['0.0.0.0:43941', '0.0.0.0:47709', '0.0.0.0:54027', '0.0.0.0:34965', '0.0.0.0:43579', '0.0.0.0:48293', '0.0.0.0:35499', '0.0.0.0:33719', '0.0.0.0:45803', '0.0.0.0:35401', '0.0.0.0:42453', '0.0.0.0:58125', '0.0.0.0:54177']
[ 2026-02-15 22:01:29 | 0.0.0.0:35477 | INFO ] 🧩 Model added for round 93 (2/7) from ['0.0.0.0:39315']
[ 2026-02-15 22:01:29 | 0.0.0.0:35477 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 22:01:29 | 0.0.0.0:35165 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 22:01:29 | 0.0.0.0:50577 | INFO ] 🧩 Model added for round 93 (6/7) from ['0.0.0.0:58125']
[ 2026-02-15 22:01:29 | 0.0.0.0:59953 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 22:01:29 | 0.0.0.0:35477 | INFO ] 🎓 Training step done.
[ 2026-02-15 22:01:30 | 0.0.0.0:35165 | INFO ] 🔬 Evaluating...
[ 2026-02-15 22:01:30 | 0.0.0.0:60653 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 22:01:30 | 0.0.0.0:35477 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 22:01:30 | 0.0.0.0:43941 | INFO ] 🧩 Model added for round 93 (11/14) from ['0.0.0.0:51783']
[ 2026-02-15 22:01:30 | 0.0.0.0:35477 | INFO ] ✅ [FORCE] Local model added for round 93. (3/7)
[ 2026-02-15 22:01:30 | 0.0.0.0:35165 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.39539992809295654, 'test_acc': 0.9620853066444397, 'test_precision': 0.7167938351631165, 'test_recall': 0.7121443152427673, 'test_f1': 0.7129748463630676}
