[ 2026-02-16 09:31:31 | 0.0.0.0:37353 | INFO ] 📤 Sending model to 12 direct neighbors: ['0.0.0.0:60377', '0.0.0.0:46265', '0.0.0.0:43413', '0.0.0.0:33789', '0.0.0.0:47749', '0.0.0.0:53423', '0.0.0.0:38387', '0.0.0.0:34015', '0.0.0.0:33615', '0.0.0.0:47933', '0.0.0.0:43911', '0.0.0.0:53491']
[ 2026-02-16 09:31:31 | 0.0.0.0:49255 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 09:31:31 | 0.0.0.0:37671 | INFO ] 🧩 Model added for round 94 (10/11) from ['0.0.0.0:53423']
[ 2026-02-16 09:31:31 | 0.0.0.0:50899 | INFO ] 🧩 Model added for round 94 (11/12) from ['0.0.0.0:43911']
[ 2026-02-16 09:31:31 | 0.0.0.0:55911 | INFO ] 🧩 Model added for round 94 (8/9) from ['0.0.0.0:53491']
[ 2026-02-16 09:31:31 | 0.0.0.0:57981 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-02-16 09:31:31 | 0.0.0.0:57981 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 09:31:31 | 0.0.0.0:60377 | INFO ] 🧩 Model added for round 94 (7/7) from ['0.0.0.0:37353']
[ 2026-02-16 09:31:31 | 0.0.0.0:53381 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:31 | 0.0.0.0:57981 | INFO ] ♻️ Proactively processing 8 early models for round 94.
[ 2026-02-16 09:31:31 | 0.0.0.0:46265 | INFO ] 📤 Sending model to 13 direct neighbors: ['0.0.0.0:46205', '0.0.0.0:37687', '0.0.0.0:41999', '0.0.0.0:50899', '0.0.0.0:43413', '0.0.0.0:47749', '0.0.0.0:37353', '0.0.0.0:39259', '0.0.0.0:32981', '0.0.0.0:34015', '0.0.0.0:43911', '0.0.0.0:34671', '0.0.0.0:41189']
[ 2026-02-16 09:31:31 | 0.0.0.0:43413 | INFO ] 📤 Sending model to 10 direct neighbors: ['0.0.0.0:41421', '0.0.0.0:47439', '0.0.0.0:46265', '0.0.0.0:47749', '0.0.0.0:33389', '0.0.0.0:37353', '0.0.0.0:50765', '0.0.0.0:37919', '0.0.0.0:48549', '0.0.0.0:41189']
[ 2026-02-16 09:31:31 | 0.0.0.0:57981 | INFO ] 🧩 Model added for round 94 (1/10) from ['0.0.0.0:59179']
[ 2026-02-16 09:31:31 | 0.0.0.0:57981 | INFO ] 🧩 Model added for round 94 (2/10) from ['0.0.0.0:51747']
[ 2026-02-16 09:31:31 | 0.0.0.0:57981 | INFO ] 🧩 Model added for round 94 (3/10) from ['0.0.0.0:37687']
[ 2026-02-16 09:31:31 | 0.0.0.0:57981 | INFO ] 🧩 Model added for round 94 (4/10) from ['0.0.0.0:32981']
[ 2026-02-16 09:31:31 | 0.0.0.0:57981 | INFO ] 🧩 Model added for round 94 (5/10) from ['0.0.0.0:37671']
[ 2026-02-16 09:31:31 | 0.0.0.0:57981 | INFO ] 🧩 Model added for round 94 (6/10) from ['0.0.0.0:46205']
[ 2026-02-16 09:31:31 | 0.0.0.0:57981 | INFO ] 🧩 Model added for round 94 (7/10) from ['0.0.0.0:34671']
[ 2026-02-16 09:31:31 | 0.0.0.0:57981 | INFO ] 🧩 Model added for round 94 (8/10) from ['0.0.0.0:53423']
[ 2026-02-16 09:31:31 | 0.0.0.0:41421 | INFO ] 🧩 Model added for round 94 (7/7) from ['0.0.0.0:43413']
[ 2026-02-16 09:31:32 | 0.0.0.0:57981 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 09:31:32 | 0.0.0.0:60377 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:32 | 0.0.0.0:46205 | INFO ] 🧩 Model added for round 94 (9/11) from ['0.0.0.0:46265']
[ 2026-02-16 09:31:32 | 0.0.0.0:57981 | INFO ] 🎓 Training step done.
[ 2026-02-16 09:31:32 | 0.0.0.0:57981 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 09:31:32 | 0.0.0.0:57981 | INFO ] ✅ [FORCE] Local model added for round 94. (9/10)
[ 2026-02-16 09:31:32 | 0.0.0.0:46265 | INFO ] 🧩 Model added for round 94 (12/14) from ['0.0.0.0:37353']
[ 2026-02-16 09:31:32 | 0.0.0.0:37353 | INFO ] 🧩 Model added for round 94 (9/13) from ['0.0.0.0:53423']
[ 2026-02-16 09:31:32 | 0.0.0.0:60377 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:32 | 0.0.0.0:47945 | INFO ] 🧩 Model added for round 94 (9/9) from ['0.0.0.0:53491']
[ 2026-02-16 09:31:32 | 0.0.0.0:41421 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:32 | 0.0.0.0:53423 | INFO ] 🧩 Model added for round 94 (14/16) from ['0.0.0.0:43911']
[ 2026-02-16 09:31:33 | 0.0.0.0:47439 | INFO ] 🧩 Model added for round 94 (10/10) from ['0.0.0.0:43413']
[ 2026-02-16 09:31:33 | 0.0.0.0:57251 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:47439', '0.0.0.0:47945']
[ 2026-02-16 09:31:33 | 0.0.0.0:37687 | INFO ] 🧩 Model added for round 94 (11/13) from ['0.0.0.0:46265']
[ 2026-02-16 09:31:33 | 0.0.0.0:47945 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:33 | 0.0.0.0:41421 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:34 | 0.0.0.0:47439 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:34 | 0.0.0.0:37353 | INFO ] 🧩 Model added for round 94 (10/13) from ['0.0.0.0:53491']
[ 2026-02-16 09:31:34 | 0.0.0.0:47945 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:34 | 0.0.0.0:43899 | INFO ] 🧩 Model added for round 94 (11/13) from ['0.0.0.0:53423']
[ 2026-02-16 09:31:34 | 0.0.0.0:46265 | INFO ] 🧩 Model added for round 94 (13/14) from ['0.0.0.0:43413']
[ 2026-02-16 09:31:35 | 0.0.0.0:43413 | INFO ] 🧩 Model added for round 94 (9/11) from ['0.0.0.0:37353']
[ 2026-02-16 09:31:35 | 0.0.0.0:47439 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:35 | 0.0.0.0:37353 | INFO ] 🧩 Model added for round 94 (11/13) from ['0.0.0.0:43911']
[ 2026-02-16 09:31:35 | 0.0.0.0:41189 | INFO ] 📤 Sending model to 12 direct neighbors: ['0.0.0.0:36603', '0.0.0.0:46265', '0.0.0.0:43413', '0.0.0.0:47749', '0.0.0.0:35987', '0.0.0.0:43899', '0.0.0.0:37919', '0.0.0.0:38387', '0.0.0.0:48549', '0.0.0.0:43911', '0.0.0.0:50485', '0.0.0.0:34671']
[ 2026-02-16 09:31:35 | 0.0.0.0:41999 | INFO ] 🧩 Model added for round 94 (3/3) from ['0.0.0.0:46265']
