[ 2026-03-20 07:00:00 | None | INFO ] Created experiment folder: /mnt/c/Users/thaih/HK252/DATN/p2pfl/experiments/fraudTrain.csv_fraudTest.csv_RandomIIDPartitionStrategy_DFedAdp_model_build_fn_20260320_070000 and copied test.yaml
[ 2026-03-20 07:00:00 | None | INFO ] Set simulation heartbeat: timeout=300s, period=10s
[ 2026-03-20 07:01:13 | node | INFO ] InMemoryServer started at node
[ 2026-03-20 07:01:13 | node | INFO ] 🏁 Starting gossiper...
[ 2026-03-20 07:01:13 | None | INFO ] 🚀 Created 0/3 nodes, waiting 1.00s for CPU to breathe...
[ 2026-03-20 07:01:14 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-03-20 07:01:14 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-03-20 07:01:15 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-03-20 07:01:16 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-03-20 07:01:17 |  | INFO ] Connected nodes node and node_1
[ 2026-03-20 07:01:17 |  | INFO ] Connected nodes node and node_2
[ 2026-03-20 07:01:17 |  | INFO ] Connected nodes node_1 and node_2
[ 2026-03-20 07:01:17 | None | INFO ] 📡 Performing global simulation discovery for 3 nodes...
[ 2026-03-20 07:01:17 | None | INFO ] ⌛ Waiting for direct topology connections (2-2 per node)...
[ 2026-03-20 07:01:17 | None | INFO ] ✅ Network topology ready.
[ 2026-03-20 07:01:17 | node | INFO ] 🚀 Broadcasting start learning to 3 nodes...
[ 2026-03-20 07:01:17 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2'] | Degree: 2
[ 2026-03-20 07:01:17 | node_2 | INFO ] 🔍 Neighbors found: ['node', 'node_1'] | Degree: 2
[ 2026-03-20 07:01:17 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2026-03-20 07:01:17 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2026-03-20 07:01:17 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_2'] | Degree: 2
[ 2026-03-20 07:01:17 | node | INFO ] ⏳ Waiting initialization.
[ 2026-03-20 07:01:17 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2026-03-20 07:01:18 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-03-20 07:01:18 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-03-20 07:01:19 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-03-20 07:01:19 | node_2 | INFO ] 🤫 Gossip finished.
