[ 2026-03-06 14:15:52 | None | INFO ] Created experiment folder: /root/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_FedAvg_model_build_fn_20260306_141552 and copied 99_centralized_mnist_test_verify.yaml
[ 2026-03-06 14:16:04 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.881875216960907, 'test_acc': 0.7250000238418579, 'test_precision': 0.7747064828872681, 'test_recall': 0.7203541398048401, 'test_f1': 0.7232202291488647, 'communication_cost': 0}
[ 2026-03-06 14:16:04 | node_1 | INFO ] 🚂 Round 1: Client training...
[ 2026-03-06 14:16:04 | node | INFO ] 🧩 Model added for round 1 (1/4) from ['node_2']
[ 2026-03-06 14:16:04 | node_4 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.8185350298881531, 'test_acc': 0.75, 'test_precision': 0.8170436024665833, 'test_recall': 0.7488247752189636, 'test_f1': 0.7603701949119568, 'communication_cost': 0}
[ 2026-03-06 14:16:04 | node_4 | INFO ] 🚂 Round 1: Client training...
[ 2026-03-06 14:16:04 | node_3 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:04 | node_3 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.8595036864280701, 'test_acc': 0.7149999737739563, 'test_precision': 0.7385765314102173, 'test_recall': 0.717078685760498, 'test_f1': 0.710645854473114, 'communication_cost': 0}
[ 2026-03-06 14:16:04 | node_3 | INFO ] 🚂 Round 1: Client training...
[ 2026-03-06 14:16:04 | node | INFO ] 🧩 Model added for round 1 (2/4) from ['node_1']
[ 2026-03-06 14:16:04 | node | INFO ] 🧩 Model added for round 1 (3/4) from ['node_4']
[ 2026-03-06 14:16:04 | node | INFO ] 🧩 Model added for round 1 (4/4) from ['node_3']
[ 2026-03-06 14:16:05 | node | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:05 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3835827112197876, 'test_acc': 0.8899999856948853, 'test_precision': 0.9037116169929504, 'test_recall': 0.8834230303764343, 'test_f1': 0.8857386708259583, 'communication_cost': 3764136}
[ 2026-03-06 14:16:05 | node | INFO ] ⏳ Round 2: Server waiting for 4 updates.
[ 2026-03-06 14:16:05 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:05 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3725651800632477, 'test_acc': 0.8999999761581421, 'test_precision': 0.8843749165534973, 'test_recall': 0.9143548607826233, 'test_f1': 0.890342116355896, 'communication_cost': 0}
[ 2026-03-06 14:16:05 | node_2 | INFO ] 🚂 Round 2: Client training...
[ 2026-03-06 14:16:05 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:05 | node_4 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:05 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.37353137135505676, 'test_acc': 0.8849999904632568, 'test_precision': 0.8809264898300171, 'test_recall': 0.8838008046150208, 'test_f1': 0.8745661973953247, 'communication_cost': 0}
[ 2026-03-06 14:16:05 | node_1 | INFO ] 🚂 Round 2: Client training...
[ 2026-03-06 14:16:05 | node | INFO ] 🧩 Model added for round 2 (1/4) from ['node_2']
[ 2026-03-06 14:16:05 | node_4 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4173623025417328, 'test_acc': 0.8949999809265137, 'test_precision': 0.8962043523788452, 'test_recall': 0.8990312218666077, 'test_f1': 0.8917930722236633, 'communication_cost': 0}
[ 2026-03-06 14:16:05 | node_4 | INFO ] 🚂 Round 2: Client training...
[ 2026-03-06 14:16:05 | node_3 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:05 | node_3 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.5698628425598145, 'test_acc': 0.8550000190734863, 'test_precision': 0.8480342030525208, 'test_recall': 0.8490850925445557, 'test_f1': 0.8426892161369324, 'communication_cost': 0}
[ 2026-03-06 14:16:05 | node_3 | INFO ] 🚂 Round 2: Client training...
[ 2026-03-06 14:16:06 | node | INFO ] 🧩 Model added for round 2 (2/4) from ['node_4']
[ 2026-03-06 14:16:06 | node | INFO ] 🧩 Model added for round 2 (3/4) from ['node_1']
[ 2026-03-06 14:16:06 | node | INFO ] 🧩 Model added for round 2 (4/4) from ['node_3']
[ 2026-03-06 14:16:06 | node | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:06 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2675120234489441, 'test_acc': 0.9100000262260437, 'test_precision': 0.920555591583252, 'test_recall': 0.9065248370170593, 'test_f1': 0.90645432472229, 'communication_cost': 3764136}
[ 2026-03-06 14:16:06 | node | INFO ] ⏳ Round 3: Server waiting for 4 updates.
[ 2026-03-06 14:16:06 | node_3 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:06 | node_3 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4147087335586548, 'test_acc': 0.8799999952316284, 'test_precision': 0.882667064666748, 'test_recall': 0.8711926341056824, 'test_f1': 0.868344247341156, 'communication_cost': 0}
[ 2026-03-06 14:16:06 | node_3 | INFO ] 🚂 Round 3: Client training...
[ 2026-03-06 14:16:06 | node | INFO ] 🧩 Model added for round 3 (1/4) from ['node_3']
[ 2026-03-06 14:16:06 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:06 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.26046860218048096, 'test_acc': 0.9150000214576721, 'test_precision': 0.9036537408828735, 'test_recall': 0.9268449544906616, 'test_f1': 0.9107939004898071, 'communication_cost': 0}
[ 2026-03-06 14:16:06 | node_2 | INFO ] 🚂 Round 3: Client training...
[ 2026-03-06 14:16:07 | node_4 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:07 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:07 | node | INFO ] 🧩 Model added for round 3 (2/4) from ['node_2']
[ 2026-03-06 14:16:07 | node_4 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.337116539478302, 'test_acc': 0.9150000214576721, 'test_precision': 0.9186253547668457, 'test_recall': 0.9203073978424072, 'test_f1': 0.9149438738822937, 'communication_cost': 0}
[ 2026-03-06 14:16:07 | node_4 | INFO ] 🚂 Round 3: Client training...
[ 2026-03-06 14:16:07 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.29423633217811584, 'test_acc': 0.8949999809265137, 'test_precision': 0.8988611698150635, 'test_recall': 0.8977851271629333, 'test_f1': 0.8886038064956665, 'communication_cost': 0}
[ 2026-03-06 14:16:07 | node_1 | INFO ] 🚂 Round 3: Client training...
[ 2026-03-06 14:16:07 | node | INFO ] 🧩 Model added for round 3 (3/4) from ['node_4']
[ 2026-03-06 14:16:07 | node | INFO ] 🧩 Model added for round 3 (4/4) from ['node_1']
[ 2026-03-06 14:16:07 | node | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:07 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3544839918613434, 'test_acc': 0.9100000262260437, 'test_precision': 0.9110807776451111, 'test_recall': 0.9109428524971008, 'test_f1': 0.9069908261299133, 'communication_cost': 3764136}
[ 2026-03-06 14:16:07 | node | INFO ] ⏳ Round 4: Server waiting for 4 updates.
[ 2026-03-06 14:16:07 | node_4 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:16:07 | node_1 | INFO ] 🔬 Evaluating...
