[ 2026-03-14 08:19:20 | None | INFO ] Created experiment folder: /mnt/c/Users/thaih/HK252/DATN/p2pfl/experiments/fraudTrain.csv_fraudTest.csv_RandomIIDPartitionStrategy_DFedAdp_model_build_fn_20260314_081920 and copied fraud.yaml
[ 2026-03-14 08:52:06 | node_1 | INFO ] 🎉 Round 1 of 20 finished.
[ 2026-03-14 08:52:06 | node_1 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-03-14 08:52:06 | node_1 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-14 08:52:09 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 2.5414063930511475, 'test_accuracy': 0.9940293431282043, 'test_precision': 0.04088389873504639, 'test_recall': 0.04200676456093788, 'test_f1': 0.04087239131331444, 'communication_cost': 204436}
[ 2026-03-14 08:52:09 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-03-14 08:52:09 | node | INFO ] 🎉 Round 1 of 20 finished.
[ 2026-03-14 08:52:09 | node | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-03-14 08:52:09 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-14 08:52:11 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 3.1089835166931152, 'test_accuracy': 0.995184600353241, 'test_precision': 0.022975722327828407, 'test_recall': 0.022630224004387856, 'test_f1': 0.02256687916815281, 'communication_cost': 204436}
[ 2026-03-14 08:52:11 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-14 08:52:11 | node_2 | INFO ] 🎉 Round 1 of 20 finished.
[ 2026-03-14 08:52:11 | node_2 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-03-14 08:52:11 | node_2 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-14 08:57:45 | node | INFO ] Stopping node...
[ 2026-03-14 08:57:46 | ActorPool | INFO ] Shutting down pool with 0 idle actors.
[ 2026-03-14 08:57:46 | node | INFO ] 🛑 Stopping gossiper...
[ 2026-03-14 08:57:46 | node | INFO ] InMemoryServer stopped at node
[ 2026-03-14 08:57:46 | node_1 | INFO ] Stopping node...
[ 2026-03-14 08:57:46 | ActorPool | INFO ] Shutting down pool with 0 idle actors.
[ 2026-03-14 08:57:46 | node_1 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-14 08:57:46 | node_1 | INFO ] InMemoryServer stopped at node_1
[ 2026-03-14 08:57:46 | node_2 | INFO ] Stopping node...
[ 2026-03-14 08:57:46 | ActorPool | INFO ] Shutting down pool with 0 idle actors.
[ 2026-03-14 08:57:46 | node_2 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-14 08:57:46 | node_2 | INFO ] InMemoryServer stopped at node_2
