[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 📈 Evaluated. Results: {'test_loss': 2.156777858734131, 'test_acc': 0.8999999761581421, 'test_precision': 0.9084909558296204, 'test_recall': 0.911206066608429, 'test_f1': 0.9025248885154724}
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🎉 Round 63 of 100 finished.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 45
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:35 | 0.0.0.0:59479 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:45597', '0.0.0.0:48049', '0.0.0.0:42319', '0.0.0.0:41895']
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 📈 Evaluated. Results: {'test_loss': 2.156777858734131, 'test_acc': 0.8999999761581421, 'test_precision': 0.9084909558296204, 'test_recall': 0.911206066608429, 'test_f1': 0.9025248885154724}
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🧩 Model added (1/4) from ['0.0.0.0:59479']
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🎉 Round 64 of 100 finished.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 45
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:40:35 | 0.0.0.0:59479 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:45597', '0.0.0.0:48049', '0.0.0.0:42319', '0.0.0.0:41895']
[ 2026-02-15 08:40:35 | 0.0.0.0:59479 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:45597', '0.0.0.0:48049', '0.0.0.0:42319', '0.0.0.0:41895']
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 📈 Evaluated. Results: {'test_loss': 2.156777858734131, 'test_acc': 0.8999999761581421, 'test_precision': 0.9084909558296204, 'test_recall': 0.911206066608429, 'test_f1': 0.9025248885154724}
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] ✅ [FORCE] Local model added. (1/4)
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🧩 Model added (2/4) from ['0.0.0.0:59479']
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🎉 Round 65 of 100 finished.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 45
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:35 | 0.0.0.0:45597 | INFO ] 🛠️ Calling force_add_local_model...
