[ 2026-03-06 13:32:13 | node_7 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.06479203701019287, 'test_acc': 0.9849246144294739, 'test_precision': 0.8980617523193359, 'test_recall': 0.8878679275512695, 'test_f1': 0.8923985362052917, 'communication_cost': 0}
[ 2026-03-06 13:32:13 | node_17 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.22585166990756989, 'test_acc': 0.9590443968772888, 'test_precision': 0.6707776188850403, 'test_recall': 0.6827153563499451, 'test_f1': 0.670879065990448, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_8 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.46926769614219666, 'test_acc': 0.8894472122192383, 'test_precision': 0.6763203144073486, 'test_recall': 0.6909325122833252, 'test_f1': 0.6681614518165588, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_9 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.18366684019565582, 'test_acc': 0.9714285731315613, 'test_precision': 0.8969696760177612, 'test_recall': 0.9759184122085571, 'test_f1': 0.9186004400253296, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_5 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2369035929441452, 'test_acc': 0.954023003578186, 'test_precision': 0.64542156457901, 'test_recall': 0.6260924935340881, 'test_f1': 0.6342551708221436, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_3 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_15 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_19 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_2 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_23 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.5329986810684204, 'test_acc': 0.929411768913269, 'test_precision': 0.7590475678443909, 'test_recall': 0.8327058553695679, 'test_f1': 0.77664715051651, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_4 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.35358959436416626, 'test_acc': 0.9787985682487488, 'test_precision': 0.6775366067886353, 'test_recall': 0.6777114272117615, 'test_f1': 0.6768900752067566, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_17 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_7 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_26 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.15977729856967926, 'test_acc': 0.9649999737739563, 'test_precision': 0.7983999848365784, 'test_recall': 0.7853968143463135, 'test_f1': 0.7914932370185852, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_9 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_30 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3936990201473236, 'test_acc': 0.9375, 'test_precision': 0.4893423616886139, 'test_recall': 0.5055019855499268, 'test_f1': 0.491463303565979, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_10 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_5 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_8 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_29 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.16914772987365723, 'test_acc': 0.9563318490982056, 'test_precision': 0.7065058946609497, 'test_recall': 0.7211043834686279, 'test_f1': 0.710250735282898, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_23 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_4 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_26 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_37 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:32:14 | node_34 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.04387523978948593, 'test_acc': 0.9883720874786377, 'test_precision': 0.9821428656578064, 'test_recall': 0.9886363744735718, 'test_f1': 0.9844322204589844, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_27 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.17760904133319855, 'test_acc': 0.9583333134651184, 'test_precision': 0.8548147678375244, 'test_recall': 0.855053722858429, 'test_f1': 0.8524460792541504, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_30 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_13 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2966741621494293, 'test_acc': 0.9648241400718689, 'test_precision': 0.6930695176124573, 'test_recall': 0.7044354677200317, 'test_f1': 0.6965707540512085, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_31 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.525688648223877, 'test_acc': 0.9262295365333557, 'test_precision': 0.7239346504211426, 'test_recall': 0.7530714273452759, 'test_f1': 0.7339563369750977, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_32 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.21813556551933289, 'test_acc': 0.9682539701461792, 'test_precision': 0.731300950050354, 'test_recall': 0.7449751496315002, 'test_f1': 0.7265220284461975, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_29 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_22 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.5133458375930786, 'test_acc': 0.9066666960716248, 'test_precision': 0.6096009612083435, 'test_recall': 0.6356834173202515, 'test_f1': 0.6163079738616943, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_36 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4352494180202484, 'test_acc': 0.9333333373069763, 'test_precision': 0.6875767707824707, 'test_recall': 0.6887838244438171, 'test_f1': 0.6843494772911072, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_34 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_18 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.6322892904281616, 'test_acc': 0.9346405267715454, 'test_precision': 0.7650227546691895, 'test_recall': 0.7513250112533569, 'test_f1': 0.7559922933578491, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_27 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_25 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4278337061405182, 'test_acc': 0.9248120188713074, 'test_precision': 0.8696765303611755, 'test_recall': 0.9067833423614502, 'test_f1': 0.8660456538200378, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_28 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.31914013624191284, 'test_acc': 0.9459459185600281, 'test_precision': 0.8779922723770142, 'test_recall': 0.8787215948104858, 'test_f1': 0.8768839240074158, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_33 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.26144278049468994, 'test_acc': 0.9539473652839661, 'test_precision': 0.7979323267936707, 'test_recall': 0.7860462069511414, 'test_f1': 0.7902538180351257, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_12 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3442341685295105, 'test_acc': 0.9545454382896423, 'test_precision': 0.6517495512962341, 'test_recall': 0.6479352712631226, 'test_f1': 0.6480138301849365, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_13 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_14 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.16796837747097015, 'test_acc': 0.9603960514068604, 'test_precision': 0.8719298243522644, 'test_recall': 0.7898148894309998, 'test_f1': 0.8118117451667786, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_11 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.5696223974227905, 'test_acc': 0.9130434989929199, 'test_precision': 0.6114163994789124, 'test_recall': 0.632487416267395, 'test_f1': 0.6145585179328918, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_31 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_20 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3550291061401367, 'test_acc': 0.9277108311653137, 'test_precision': 0.8663299679756165, 'test_recall': 0.9259259104728699, 'test_f1': 0.8688516020774841, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_6 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.28909164667129517, 'test_acc': 0.9684210419654846, 'test_precision': 0.7683242559432983, 'test_recall': 0.7673399448394775, 'test_f1': 0.7668783664703369, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_32 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_36 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_21 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.759772777557373, 'test_acc': 0.9150000214576721, 'test_precision': 0.616726279258728, 'test_recall': 0.6556758880615234, 'test_f1': 0.6268195509910583, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_22 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_18 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_35 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4162995517253876, 'test_acc': 0.9428571462631226, 'test_precision': 0.795102059841156, 'test_recall': 0.8336734771728516, 'test_f1': 0.8069073557853699, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_33 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:14 | node_39 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:32:14 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.20254617929458618, 'test_acc': 0.9599999785423279, 'test_precision': 0.7250003218650818, 'test_recall': 0.7058549523353577, 'test_f1': 0.7145936489105225, 'communication_cost': 0}
[ 2026-03-06 13:32:14 | node_28 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:15 | node_40 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:32:15 | node_38 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:32:15 | node_25 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:15 | node_12 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:15 | node_14 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:15 | node_11 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:15 | node_20 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:15 | node_6 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:15 | node_21 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:15 | node_35 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:15 | node_1 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:32:15 | node_42 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:32:15 | node_41 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:32:15 | node_37 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2661280035972595, 'test_acc': 0.9754098653793335, 'test_precision': 0.8666666746139526, 'test_recall': 0.8785965442657471, 'test_f1': 0.8712726831436157, 'communication_cost': 0}
[ 2026-03-06 13:32:15 | node_43 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:32:15 | node_37 | INFO ] 🚂 Round 81: Client training...
