[ 2026-03-06 13:42:24 | node_43 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3092811107635498, 'test_acc': 0.9103773832321167, 'test_precision': 0.427742063999176, 'test_recall': 0.43278950452804565, 'test_f1': 0.426244854927063, 'communication_cost': 0}
[ 2026-03-06 13:42:24 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.05885183811187744, 'test_acc': 0.9882352948188782, 'test_precision': 0.9946808815002441, 'test_recall': 0.9791667461395264, 'test_f1': 0.9864422678947449, 'communication_cost': 0}
[ 2026-03-06 13:42:24 | node_41 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.18536311388015747, 'test_acc': 0.9636363387107849, 'test_precision': 0.7200000286102295, 'test_recall': 0.7923077940940857, 'test_f1': 0.7460784912109375, 'communication_cost': 0}
[ 2026-03-06 13:42:24 | node_34 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_49 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:42:24 | node_38 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_31 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_33 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_32 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_19 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_46 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.21128599345684052, 'test_acc': 0.9702380895614624, 'test_precision': 0.5299145579338074, 'test_recall': 0.5234861969947815, 'test_f1': 0.5266488194465637, 'communication_cost': 0}
[ 2026-03-06 13:42:24 | node_45 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_5 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3383921682834625, 'test_acc': 0.9230769276618958, 'test_precision': 0.6071987748146057, 'test_recall': 0.6689674854278564, 'test_f1': 0.629238486289978, 'communication_cost': 0}
[ 2026-03-06 13:42:24 | node_28 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3408161997795105, 'test_acc': 0.970059871673584, 'test_precision': 0.3404626250267029, 'test_recall': 0.3466607332229614, 'test_f1': 0.3421611487865448, 'communication_cost': 0}
[ 2026-03-06 13:42:24 | node_21 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.33584198355674744, 'test_acc': 0.932692289352417, 'test_precision': 0.45665448904037476, 'test_recall': 0.4462370276451111, 'test_f1': 0.4510536789894104, 'communication_cost': 0}
[ 2026-03-06 13:42:24 | node_12 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.22402937710285187, 'test_acc': 0.9497041702270508, 'test_precision': 0.30836087465286255, 'test_recall': 0.3213850259780884, 'test_f1': 0.31068292260169983, 'communication_cost': 0}
[ 2026-03-06 13:42:24 | node_6 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_17 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_3 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_14 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.18680493533611298, 'test_acc': 0.9676470756530762, 'test_precision': 0.41403359174728394, 'test_recall': 0.41755345463752747, 'test_f1': 0.41474393010139465, 'communication_cost': 0}
[ 2026-03-06 13:42:24 | node_15 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_37 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_2 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_43 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_41 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_8 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.22459006309509277, 'test_acc': 0.9078013896942139, 'test_precision': 0.5917782783508301, 'test_recall': 0.5690187811851501, 'test_f1': 0.577801525592804, 'communication_cost': 0}
[ 2026-03-06 13:42:24 | node_46 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:42:24 | node_40 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2533593475818634, 'test_acc': 0.9571428298950195, 'test_precision': 0.4482993483543396, 'test_recall': 0.45414820313453674, 'test_f1': 0.44357284903526306, 'communication_cost': 0}
[ 2026-03-06 13:42:24 | node_47 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.034061238169670105, 'test_acc': 0.9928057789802551, 'test_precision': 0.9841727018356323, 'test_recall': 0.9810072183609009, 'test_f1': 0.9824140667915344, 'communication_cost': 0}
