[ 2026-03-06 14:03:45 | node_29 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3811524510383606, 'test_acc': 0.9368420839309692, 'test_precision': 0.8379550576210022, 'test_recall': 0.8249955177307129, 'test_f1': 0.8295151591300964, 'communication_cost': 0}
[ 2026-03-06 14:03:45 | node_25 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.18814553320407867, 'test_acc': 0.9377777576446533, 'test_precision': 0.7396847009658813, 'test_recall': 0.7283917665481567, 'test_f1': 0.7333886623382568, 'communication_cost': 0}
[ 2026-03-06 14:03:45 | node_26 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:45 | node_28 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:45 | node_24 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:45 | node_29 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:45 | node_27 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:45 | node_25 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:45 | node_30 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.22699344158172607, 'test_acc': 0.9536082744598389, 'test_precision': 0.7848537564277649, 'test_recall': 0.7728331089019775, 'test_f1': 0.7781793475151062, 'communication_cost': 0}
[ 2026-03-06 14:03:45 | node_31 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.588979184627533, 'test_acc': 0.9259259104728699, 'test_precision': 0.7631226778030396, 'test_recall': 0.7431237101554871, 'test_f1': 0.7513015270233154, 'communication_cost': 0}
[ 2026-03-06 14:03:45 | node_30 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:45 | node_31 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:45 | node_32 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:45 | node_33 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:45 | node_34 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_32 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.47572746872901917, 'test_acc': 0.9558011293411255, 'test_precision': 0.7920284271240234, 'test_recall': 0.7840623259544373, 'test_f1': 0.7865250706672668, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_33 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.24139706790447235, 'test_acc': 0.9625668525695801, 'test_precision': 0.838171660900116, 'test_recall': 0.8268638849258423, 'test_f1': 0.8321057558059692, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_32 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node_33 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node_36 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_35 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_34 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.5377005338668823, 'test_acc': 0.9468598961830139, 'test_precision': 0.7538687586784363, 'test_recall': 0.7365630269050598, 'test_f1': 0.7428783178329468, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_34 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node_36 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.1917482316493988, 'test_acc': 0.9488636255264282, 'test_precision': 0.8575248718261719, 'test_recall': 0.8387806415557861, 'test_f1': 0.846413254737854, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_35 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.30336856842041016, 'test_acc': 0.9534883499145508, 'test_precision': 0.6890918612480164, 'test_recall': 0.6710928082466125, 'test_f1': 0.6787327527999878, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_36 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node_40 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_35 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node_40 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.09808822721242905, 'test_acc': 0.9734042286872864, 'test_precision': 0.7781155109405518, 'test_recall': 0.7643938064575195, 'test_f1': 0.7709664702415466, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_46 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_42 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_38 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_39 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_40 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node_45 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_47 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_49 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_46 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.355236291885376, 'test_acc': 0.9512194991111755, 'test_precision': 0.7424060106277466, 'test_recall': 0.7255093455314636, 'test_f1': 0.7321439385414124, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_46 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node_43 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_42 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.12288343161344528, 'test_acc': 0.9666666388511658, 'test_precision': 0.8709599375724792, 'test_recall': 0.8680379390716553, 'test_f1': 0.8679757714271545, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_42 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node_38 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.46883758902549744, 'test_acc': 0.9243243336677551, 'test_precision': 0.7890163064002991, 'test_recall': 0.7790834307670593, 'test_f1': 0.7818681597709656, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_38 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node_45 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.34424537420272827, 'test_acc': 0.9483568072319031, 'test_precision': 0.8366444706916809, 'test_recall': 0.8170538544654846, 'test_f1': 0.8244951963424683, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_48 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_44 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_41 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node_47 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4672473669052124, 'test_acc': 0.9145728349685669, 'test_precision': 0.6871858239173889, 'test_recall': 0.6620975732803345, 'test_f1': 0.6734062433242798, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_39 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4376697242259979, 'test_acc': 0.9234693646430969, 'test_precision': 0.7098355889320374, 'test_recall': 0.7066507339477539, 'test_f1': 0.7019691467285156, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node | INFO ] ⏳ Round 81: Server waiting for 49 updates.
[ 2026-03-06 14:03:46 | node_49 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.437809020280838, 'test_acc': 0.9417475461959839, 'test_precision': 0.7941980361938477, 'test_recall': 0.7748673558235168, 'test_f1': 0.7833264470100403, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_43 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.393013060092926, 'test_acc': 0.9463414549827576, 'test_precision': 0.7860716581344604, 'test_recall': 0.7757188677787781, 'test_f1': 0.7797382473945618, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node_45 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node | INFO ] ♻️ Proactively processing 36 early models for round 81.
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (1/49) from ['node_1']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (2/49) from ['node_7']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (3/49) from ['node_13']
[ 2026-03-06 14:03:46 | node_39 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (4/49) from ['node_6']
[ 2026-03-06 14:03:46 | node_47 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node_49 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (5/49) from ['node_2']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (6/49) from ['node_10']
[ 2026-03-06 14:03:46 | node_43 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (7/49) from ['node_5']
[ 2026-03-06 14:03:46 | node_37 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (8/49) from ['node_22']
[ 2026-03-06 14:03:46 | node_41 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4728951156139374, 'test_acc': 0.9306930899620056, 'test_precision': 0.7364804148674011, 'test_recall': 0.7228031158447266, 'test_f1': 0.727643609046936, 'communication_cost': 0}
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (9/49) from ['node_12']
