[ 2026-03-27 19:43:36 | node_45 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:36 | node_44 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:36 | node_45 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:36 | node_45 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:36 | node_46 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:37 | node_47 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:37 | node_48 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:37 | node_47 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:37 | node_47 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:37 | node_49 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:37 | node_48 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:37 | node_48 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:37 | node_49 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:37 | node_49 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:38 | node | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:38 | node_46 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:38 | node_46 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:38 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:38 | node | INFO ] 🤫 Gossip finished.
[ 2026-03-27 19:43:38 | node | INFO ] 🔬 Evaluating...
[ 2026-03-27 19:43:38 | node_14 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 19:43:38 | node_14 | INFO ] 🔬 Evaluating...
[ 2026-03-27 19:43:38 | node_34 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 19:43:38 | node_34 | INFO ] 🔬 Evaluating...
[ 2026-03-27 19:43:38 | node_39 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 19:43:38 | node_39 | INFO ] 🔬 Evaluating...
[ 2026-03-27 19:43:38 | node_42 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 19:43:38 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 19:43:38 | node_31 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 19:43:38 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-03-27 19:43:38 | node_42 | INFO ] 🔬 Evaluating...
[ 2026-03-27 19:43:38 | node_45 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 19:43:38 | node_31 | INFO ] 🔬 Evaluating...
[ 2026-03-27 19:43:38 | node_41 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 19:43:38 | node_6 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 19:43:38 | node_45 | INFO ] 🔬 Evaluating...
